id_titolare,titolare,id_vice,vice,squadra,ruolo,tipo,titolarita_titolare,titolarita_vice,presenze_titolare,presenze_vice,giornate_coperte,copertura,peso_fonti,fonti,nota
7374,Mendy P.,7547,Kevin Carlos,Cagliari,A,ballottaggio,0.543,0.429,22.4,20.4,36.0,0.947,4.0,fantacalcio.it|fantamaster-g3,
5007,Ilic,7322,Ngom,Lecce,C,ballottaggio,0.886,0.314,28.6,19.5,36.0,0.947,4.0,fantacalcio.it|fantamaster-g3,
7248,Gorter,5457,Maleh,Lecce,C,ballottaggio,0.729,0.171,26.1,17.2,36.0,0.947,4.0,fantacalcio.it|fantamaster-g3,
7619,Monteiro J.,7001,N'Dri,Lecce,C,ballottaggio,0.443,0.314,21.5,18.5,36.0,0.947,2.0,fantacalcio.it,
5800,Gudmundsson A.,6398,Isaksen,Lazio,C,ballottaggio,0.586,0.457,23.8,21.8,36.0,0.947,4.0,fantacalcio.it|fantamaster-g3,
6844,Rowe,4371,Raspadori,Atalanta,C,ballottaggio,0.62,0.44,24.4,20.6,36.0,0.947,1.5,fantacalcio-online,
1850,Kessiè,5119,Samardzic,Atalanta,C,ballottaggio,0.76,0.4,26.6,20.9,36.0,0.947,1.5,fantacalcio-online,
6485,Kristensen T.,5578,Kossounou,Atalanta,D,ballottaggio,0.76,0.4,26.3,20.2,36.0,0.947,1.5,fantacalcio-online,
7219,Bernasconi,2640,Kolasinac,Atalanta,D,ballottaggio,0.64,0.4,24.3,20.2,36.0,0.947,1.5,fantacalcio-online,
4433,Zortea,5678,Holm,Bologna,D,ballottaggio,0.82,0.4,27.3,20.2,36.0,0.947,2.5,fantacalcio-online|fantamaster,
2097,Kean,7017,Douvikas,Como,A,ballottaggio,0.64,0.6,24.0,23.3,36.0,0.947,2.5,fantacalcio-online|fantamaster,
6867,Valle,7414,Kaiki,Como,D,ballottaggio,1.0,0.24,30.4,17.5,36.0,0.947,2.5,fantacalcio-online|fantamaster,
7023,Pellegrino M.,5694,Beto,Fiorentina,A,ballottaggio,0.8,0.44,26.7,20.6,36.0,0.947,2.5,fantacalcio-online|fantamaster,
7464,Oulai,4465,Fagioli,Fiorentina,C,ballottaggio,0.8,0.6,27.2,24.0,36.0,0.947,2.5,fantacalcio-online|fantamaster,
7625,Goncalves P.,6827,Njie,Fiorentina,C,ballottaggio,0.82,0.4,27.5,20.9,36.0,0.947,1.5,fantacalcio-online,
7537,Mitaj,6020,Ellertsson,Genoa,D,ballottaggio,0.64,0.6,24.3,24.0,36.0,0.947,1.5,fantacalcio-online,
5172,Jones C.,152,Zielinski,Inter,C,ballottaggio,0.64,0.6,24.7,24.0,36.0,0.947,1.5,fantacalcio-online,
4159,Akanji,2514,Stones,Inter,D,ballottaggio,1.0,0.62,30.4,23.9,36.0,0.947,1.5,fantacalcio-online,
6320,Doekhi,7580,Sutalo J.,Lazio,D,ballottaggio,0.657,0.429,24.6,20.7,36.0,0.947,2.5,fantacalcio-online|fantamaster,
2038,Pinamonti,6398,Isaksen,Lazio,A,ballottaggio,0.971,0.457,29.6,21.8,36.0,0.947,1.5,fantacalcio-online,
7619,Monteiro J.,7602,Fatah,Lecce,C,ballottaggio,0.443,0.157,21.5,15.9,36.0,0.947,1.5,fantacalcio-online,
2423,Pulisic,4892,Saelemaekers,Milan,C,ballottaggio,0.571,0.286,23.6,19.0,36.0,0.947,1.5,fantacalcio-online,
7301,Tornqvist,4485,Thiam,Monza,P,ballottaggio,0.62,0.4,22.0,15.0,36.0,0.947,1.5,fantacalcio-online,
5878,Colpani,6145,Ngonge,Monza,C,ballottaggio,0.64,0.2,24.7,16.6,36.0,0.947,1.5,fantacalcio-online,
4664,Badiashile,6202,Beukema,Napoli,D,ballottaggio,0.72,0.14,25.6,15.8,36.0,0.947,1.5,fantacalcio-online,
