id,stagione,squadra,partite,minuti,gol,assist,xg,npxg,xa,tiri,passaggi_chiave,xg_chain,xg_buildup,posizione_fonte
3,2023-24,Cagliari,7,630,0,0,0.0,0.0,0.0,0,0,0.2149,0.2149,GK
4,2023-24,Milan,7,630,0,0,0.0,0.0,0.0,0,0,0.5397,0.5397,GK
4,2024-25,Milan,2,124,0,0,0.0,0.0,0.0,0,0,1.022,1.022,GK S
4,2025-26,Atalanta,1,90,0,0,0.0,0.0,0.0,0,0,0.4067,0.4067,GK
22,2023-24,Atalanta,30,2598,0,5,0.6061,0.6061,1.5441,16,23,10.9401,9.3929,D M S
22,2024-25,Atalanta,36,3060,4,4,1.2634,1.2634,2.7509,14,25,20.3619,18.28,D M S
22,2025-26,Atalanta,34,2720,1,2,0.8248,0.8248,1.5867,16,23,15.4834,13.5858,D M S
133,2023-24,Bologna,32,2880,0,0,0.0,0.0,0.0,0,0,3.8841,3.8841,GK
133,2024-25,Bologna,27,2364,0,0,0.0,0.0,0.0,0,0,2.8055,2.8055,GK
133,2025-26,Bologna,19,1594,0,0,0.0,0.0,0.0,0,0,1.6174,1.6174,GK
152,2023-24,Napoli,28,1979,3,2,2.7691,2.0078,3.8942,30,48,11.81,9.097,M S
152,2024-25,Inter,26,947,2,2,2.6944,1.1718,0.6181,17,13,6.7367,5.5618,M S
152,2025-26,Inter,34,2048,6,3,2.1001,1.3388,4.2378,29,29,13.9466,11.2563,M S
158,2025-26,Fiorentina,1,3,0,0,0.0,0.0,0.0,0,0,0.078,0.078,S
184,2025-26,Bologna,29,1198,4,2,3.1793,2.418,3.5703,39,29,8.0681,3.1547,F M S
218,2023-24,Juventus,3,227,0,0,0.0,0.0,0.0,0,0,0.1355,0.1355,GK
218,2024-25,Juventus,5,450,0,0,0.0,0.0,0.0,0,0,1.65,1.65,GK
218,2025-26,Juventus,9,766,0,0,0.0,0.0,0.0818,0,1,3.3018,3.22,GK
219,2023-24,Genoa,1,2,0,0,0.0,0.0,0.0,0,0,0.0,0.0,S
219,2024-25,Genoa,1,26,0,0,0.0,0.0,0.0,0,0,0.0,0.0,S
219,2025-26,Genoa,2,176,0,0,0.0,0.0,0.0,0,0,0.0384,0.0384,GK S
252,2023-24,Fiorentina,29,2366,2,5,1.5414,0.7801,4.9704,17,45,6.1963,5.4461,D S
252,2024-25,Fiorentina | Torino,23,1585,1,0,0.6365,0.6365,3.2531,15,31,3.9442,2.5034,D S
252,2025-26,Torino,14,497,0,0,0.0619,0.0619,0.3642,2,7,0.7062,0.4561,D M S
254,2023-24,Inter,30,2166,5,6,3.2087,3.2087,9.5586,50,63,18.5521,12.9006,D S
254,2024-25,Inter,33,2214,4,7,4.1627,4.1627,7.3322,56,48,15.3702,7.9476,D M S
254,2025-26,Inter,35,2709,7,16,7.2863,7.2863,15.9291,65,95,29.1766,13.8166,D S
256,2023-24,Napoli,24,2122,1,0,1.4222,1.4222,0.6623,8,5,8.7022,8.6644,D S
256,2024-25,Napoli,15,1076,0,1,0.2598,0.2598,0.1041,3,1,2.9916,2.9916,D S
256,2025-26,Napoli,24,1670,0,0,0.2074,0.2074,0.2721,3,4,6.6241,6.3835,D S
