giornata,data,casa,trasferta
1,2026-08-23,Atalanta,Sassuolo
1,2026-08-24,Bologna,Lazio
1,2026-08-23,Frosinone,Juventus
1,2026-08-22,Genoa,Napoli
1,2026-08-22,Inter,Monza
1,2026-08-22,Parma,Cagliari
1,2026-08-24,Roma,Fiorentina
1,2026-08-23,Torino,Milan
1,2026-08-22,Udinese,Como
1,2026-08-23,Venezia,Lecce
2,2026-08-31,Atalanta,Bologna
2,2026-08-30,Cagliari,Inter
2,2026-08-29,Fiorentina,Frosinone
2,2026-08-29,Juventus,Parma
2,2026-08-30,Lazio,Genoa
2,2026-08-31,Lecce,Roma
2,2026-08-28,Milan,Venezia
2,2026-08-29,Monza,Udinese
2,2026-08-30,Napoli,Como
2,2026-08-29,Sassuolo,Torino
3,2026-09-06,Bologna,Sassuolo
3,2026-09-07,Cagliari,Lecce
3,2026-09-05,Fiorentina,Torino
3,2026-09-06,Frosinone,Venezia
3,2026-09-04,Genoa,Como
3,2026-09-05,Inter,Napoli
3,2026-09-06,Juventus,Milan
3,2026-09-06,Parma,Monza
3,2026-09-05,Roma,Atalanta
3,2026-09-07,Udinese,Lazio
4,2026-09-12,Atalanta,Cagliari
4,2026-09-13,Como,Parma
4,2026-09-12,Genoa,Frosinone
4,2026-09-14,Inter,Udinese
4,2026-09-13,Lazio,Milan
4,2026-09-13,Lecce,Monza
4,2026-09-13,Napoli,Bologna
4,2026-09-12,Sassuolo,Juventus
4,2026-09-13,Torino,Roma
4,2026-09-11,Venezia,Fiorentina
5,2026-09-19,Bologna,Torino
5,2026-09-20,Fiorentina,Napoli
5,2026-09-20,Frosinone,Como
5,2026-09-20,Juventus,Atalanta
5,2026-09-20,Milan,Lecce
5,2026-09-18,Monza,Sassuolo
5,2026-09-20,Parma,Genoa
5,2026-09-19,Roma,Inter
5,2026-09-19,Udinese,Cagliari
5,2026-09-19,Venezia,Lazio
6,2026-10-10,Atalanta,Venezia
6,2026-10-10,Cagliari,Juventus
6,2026-10-10,Como,Roma
6,2026-10-10,Genoa,Fiorentina
6,2026-10-10,Inter,Parma
6,2026-10-10,Lazio,Monza
6,2026-10-10,Lecce,Bologna
6,2026-10-10,Napoli,Frosinone
6,2026-10-10,Sassuolo,Milan
6,2026-10-10,Torino,Udinese
7,2026-10-17,Bologna,Inter
7,2026-10-17,Fiorentina,Como
7,2026-10-17,Frosinone,Sassuolo
7,2026-10-17,Juventus,Lazio
7,2026-10-17,Milan,Atalanta
7,2026-10-17,Monza,Cagliari
7,2026-10-17,Parma,Torino
