ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol,id_ufficiale,fvm,eta
P,Svilar,Roma,19,81.51,0° TOP A,Titolare,Mod.,Lazio Napoli Juventus,0.8486256410256412,38,6.26,5.45,,,,31,26.175,23.75,,,,5841,85,27
P,Carnesecchi,Atalanta,17,79.9,0° TOP A,Mod.,Titolare,Frosinone Bologna Cagliari,0.8360291497975709,37,6.36,5.58,,,,35,21.125,23.75,,,,4431,55,26
P,Martinez Jo.,Inter,17,79.9,0° TOP B,Mod.,Imbattibilità,Milan Sassuolo Juventus,0.7548157894736843,5,6,5.2,,,,4,22.849999999999998,21.25,,,,5116,68,29
P,Vicario,Juventus,17,79.9,0° TOP B,titolare,mod.,Torino Genoa Roma,,,,,,,,,23.025,21.25,,,,4964,70,30
P,Butez,Como,15,78.3,1° Fascia A,Mod.,Titolare,Fiorentina Frosinone Genoa,0.8344610722610722,38,6.07,5.37,,,,29,19.75,17.5,,,,6966,50,31
P,Maignan,Milan,15,78.3,1° Fascia A,Titolare,Mod.,Inter Parma Cagliari,0.8102575880260091,37,6.26,5.42,,,,35,22.3,17.5,,,,4312,52,31
P,De Gea,Fiorentina,11,74.47,1° Fascia A,Titolare,Mod.,Cagliari Como Lazio,0.7659829959514172,37,6.24,5,,,,49,10.525,17.5,,,,2521,30,36
P,Meret,Napoli,11,74.47,1° Fascia B,Mod.,,Roma Bologna Frosinone,0.7593672310145996,11,6.23,5.18,,,,12,19.650000000000002,15,,,,572,48,29
P,Skorupski,Bologna,10,73.3,2° Fascia A,mod.,pararigori,Atalanta Lecce Napoli,0.7377195926880138,18,6.19,5.28,,,,15,5.8,6.25,,,,133,32,35
P,Caprile,Cagliari,10,73.3,2° Fascia A,Mod.,Titolare,Atalanta Fiorentina Venezia,0.7454885780885782,38,6.29,4.87,,,,53,4.05,6.25,,,,4360,25,25
P,Mandas,Lazio,10,73.3,2° Fascia B,Mod.,Titolare,Roma Genoa Torino,0. N.D.,0,0,0,,,,0,8.175,5,,,,6482,36,25
P,Okoye,Udinese,9,72,2° Fascia B,Mod.,Infortuni,Genoa Lecce Milan,0.7320236412710097,30,6.07,5.08,,,,32,6.75,5,,,,6462,28,27
P,Perri,Torino,9,72,2° Fascia C,Scommessa,,Juventus Lazio Lecce,,,,,,,,,1.2,3.75,,,,6534,26,29
P,Sanchez Ro.,Como,8,70.48,2° Fascia C,,,Fiorentina Frosinone Genoa,,,,,,,,,1.45,3.75,,,,6344,25,29
P,Bijlow,Genoa,8,70.48,3° Fascia,Titolare,,Juventus Bologna Como,0.740841994847258,16,6.06,4.78,,,,20,2.9,2.5,,,,7332,15,28
P,Falcone,Lecce,8,70.48,3° Fascia,Titolare,Mod.,Parma Bologna Fiorentina,0.7699578088578088,38,6.41,5.22,,,,50,3.85,2.5,,,,2134,26,31
P,Muric,Sassuolo,7,68.81,3° Fascia,Scommessa,,Inter Parma Bologna,0.731141798552325,32,6.08,4.77,,,,43,1.9,2.5,,,,4236,15,28
P,Daffara,Parma,6,66.78,3° Fascia,,,Lecce Sassuolo Milan,,,,,,,,,0.625,2.5,,,,7411,7,22
P,Stankovic F.,Venezia,6,66.78,3° Fascia,Titolare,Mod.,Cagliari Monza Bologna,,,,,,,,,1.05,2.5,,,,6248,11,24
P,Palmisani,Frosinone,5,64.25,3° Fascia,Scommessa,,Atalanta Como Napoli,,,,,,,,,0.6,2.5,,,,6415,12,22
P,Milinkovic-Savic V.,Napoli,5,64.25,3° Fascia,Imbattibilità,Mod.,Roma Bologna Frosinone,0.8197847503373821,27,6.2,5.65,,,,24,2.85,2.5,,,,2170,5,29
P,Thiam,Monza,4,60.96,R,Scommessa,,Lecce Venezia Atalanta,,,,,,,,,0.575,1,,,,4485,5,28
P,Desplanches,Frosinone,2,49.12,R,,,Atalanta Como Napoli,,,,,,,,,0.45,1,,,,7463,1,23
P,Provedel,Inter,2,49.12,R,Mod.,Jolly,Milan Sassuolo Juventus,0.7971085265611582,27,6.26,5.35,,,,27,2.8249999999999997,1,,,,2814,5,32
P,Corvi,Parma,2,49.12,R,Mod.,,Lecce Sassuolo Milan,0.7658436142804563,17,6.18,5.09,,,,18,1.1,1,,,,6662,10,25
P,Ghidotti,Parma,1,35.69,R,,,Lecce Sassuolo Milan,,,,,,,,,0.425,1,,,,2874,1,26
P,Sportiello,Atalanta,1,35.69,R,,,Frosinone Bologna Cagliari,0.709391363022942,1,5.5,4.5,,,,1,0.45,1,,,,4,1,34
P,Pompei,Atalanta,1,35.69,R,,,Frosinone Bologna Cagliari,,,,,,,,,0.45,1,,,,7626,1,20
P,Happonen,Bologna,1,35.69,R,,,Atalanta Lecce Napoli,,,,,,,,,0.45,1,,,,7533,1,19
P,Pessina Mas.,Bologna,1,35.69,R,,,Atalanta Lecce Napoli,0.7726757085020244,4,6.12,5.62,,,,2,0.45,1,,,,7172,1,19
P,Sherri,Cagliari,1,35.69,R,,,Atalanta Fiorentina Venezia,0. N.D.,0,0,0,,,,0,0.45,1,,,,6650,1,29
P,Tornqvist,Monza,1,35.69,R,Scommessa,,Lecce Venezia Atalanta,0. N.D.,0,0,0,,,,0,0.45,1,,,,7301,10,24
P,Vigorito,Como,1,35.69,R,,,Fiorentina Frosinone Genoa,0. N.D.,0,0,0,,,,0,0.45,1,,,,2809,1,36
P,Christensen O.,Fiorentina,1,35.69,R,,,Cagliari Como Lazio,0.824263157894737,1,7.5,6.5,,,,1,0.45,1,,,,6403,1,27
P,Lezzerini,Fiorentina,1,35.69,R,,,Cagliari Como Lazio,0. N.D.,0,0,0,,,,0,0.45,1,,,,158,1,31
P,Lolic,Frosinone,1,35.69,R,,,Atalanta Como Napoli,,,,,,,,,0.425,1,,,,7466,1,22
P,Sommariva,Genoa,1,35.69,R,,,Juventus Bologna Como,0.6877442645074225,2,5.75,3.75,,,,4,0.45,1,,,,219,1,29
P,Stolz,Genoa,1,35.69,R,,,Juventus Bologna Como,,,,,,,,,0.45,1,,,,6569,1,25
P,Di Gennaro,Inter,1,35.69,R,,,Milan Sassuolo Juventus,0.7381093117408908,1,6,5,,,,1,0.45,1,,,,1926,1,33
P,Pinsoglio,Juventus,1,35.69,R,,,Torino Genoa Roma,0. N.D.,0,0,0,,,,0,0.45,1,,,,1930,1,36
P,Motta,Lazio,1,35.69,R,Jolly,Mod.,Roma Genoa Torino,0.7493998895841001,9,6,5.17,,,,10,0.5,1,,,,7337,1,21
P,Renzetti,Lazio,1,35.69,R,,,Roma Genoa Torino,,,,,,,,,0.45,1,,,,7534,1,20
P,Terracciano,Milan,1,35.69,R,Mod.,,Inter Parma Cagliari,0.7776417004048584,2,6,6,,,,0,0.45,1,,,,2815,1,23
P,Torriani,Milan,1,35.69,R,,,Inter Parma Cagliari,0. N.D.,0,0,0,,,,0,0.45,1,,,,6813,1,21
P,Strajnar,Monza,1,35.69,R,,,Lecce Venezia Atalanta,,,,,,,,,0.4,1,,,,7475,1,19
P,Contini,Napoli,1,35.69,R,,,Roma Bologna Frosinone,0. N.D.,0,0,0,,,,0,0.45,1,,,,2845,1,30
P,De Marzi,Roma,1,35.69,R,,,Lazio Napoli Juventus,,,,,,,,,0.45,1,,,,7048,1,19
P,Gollini,Roma,1,35.69,R,,,Lazio Napoli Juventus,0. N.D.,0,0,0,,,,0,0.45,1,,,,610,1,31
P,Russo A.,Sassuolo,1,35.69,R,,,Inter Parma Bologna,0. N.D.,0,0,0,,,,0,0.45,1,,,,4518,1,25
P,Turati,Sassuolo,1,35.69,R,Mod.,Infortuni,Inter Parma Bologna,0.7479584345479084,6,6.17,5,,,,7,0.45,1,,,,4867,1,25
P,Mascardi,Torino,1,35.69,R,Jolly,,Juventus Lazio Lecce,,,,,,,,,0.65,1,,,,7457,5,20
P,Paleari,Torino,1,35.69,R,,,Juventus Lazio Lecce,0.714563047478837,29,6.09,4.52,,,,45,0.625,1,,,,5320,1,
P,Siviero,Torino,1,35.69,R,,,Juventus Lazio Lecce,0. N.D.,0,0,0,,,,0,0.45,1,,,,7363,1,20
P,Padelli,Udinese,1,35.69,R,,,Genoa Lecce Milan,0.7542314439946021,2,6.25,5.25,,,,2,0.45,1,,,,543,1,41
P,Piana,Udinese,1,35.69,R,,,Genoa Lecce Milan,,,,,,,,,0.45,1,,,,5707,1,23
P,Grandi,Venezia,1,35.69,R,,,Cagliari Monza Bologna,,,,,,,,,0.425,1,,,,6671,1,34
P,Pozzi,Venezia,1,35.69,R,,,Cagliari Monza Bologna,,,,,,,,,0.425,1,,,,7531,1,26
P,Satalino,Sassuolo,1,35.69,R,,,Inter Parma Bologna,0. N.D.,0,0,0,,,,0,0.425,1,,,,2127,1,27
P,Penev,Lecce,1,35.69,R,,,Parma Bologna Fiorentina,,,,,,,,,0.425,1,,,,7557,1,18
P,Pisseri,Frosinone,1,35.69,R,,,Atalanta Como Napoli,,,,,,,,,0.425,1,,,,7560,1,35
P,Radunovic,Cagliari,1,35.69,R,,,Atalanta Fiorentina Venezia,0. N.D.,0,0,0,,,,0,0.45,1,,,,3,1,30
P,Montipò,Venezia,1,35.69,R,mod.,jolly,Cagliari Monza Bologna,0.7350438596491229,35,6.2,4.94,,,,54,0.475,1,,,,4957,1,30
P,Bleve,Lecce,1,35.69,R,,,Parma Bologna Fiorentina,,,,,,,,,0.45,1,,,,4468,1,31
P,Grabara,Juventus,1,35.69,R,jolly,,Torino Genoa Roma,,,,,,,,,0.675,1,,,,7603,1,27
P,Mrozek,Udinese,1,35.69,R,,,Genoa Lecce Milan,,,,,,,,,0.45,1,,,,7611,1,26
D,Dimarco,Inter,31,89.28,Top,Mod.,Calci Piazzati,Milan Sassuolo Juventus,0.9205741626794259,35,6.6,7.64,7,17,3,,33.575,31.848183732057418,12.820292347377473,1,1,254,240,29
D,Wesley,Roma,18,80.64000000000001,Top,Titolare,Mod.,Lazio Napoli Juventus,0.682850880175212,30,6.12,6.47,5,0,5,,20.1,12.389646369899049,9.157351676698195,1,1,7181,87,23
D,Molina N.,Roma,18,80.64000000000001,Top,Titolare,Bonus,Lazio Napoli Juventus,,,,,,,,,16.275000000000002, Prezzo N.D.,,,,4998,78,28
D,Bremer,Juventus,16,79.2,Top,Titolare,Mod.,Torino Genoa Roma,0.7073145093604466,26,6.33,6.81,4,3,5,,15.6,11.203861828269474,7.3258813413585555,1,1,2788,60,29
D,Mancini,Roma,16,79.2,Top,Titolare,Mod.,Lazio Napoli Juventus,0.7285454480898048,36,6.25,6.51,4,2,9,,11.825000000000001,11.540159897742507,7.3258813413585555,1,1,2296,50,30
D,Akanji,Inter,15,78.3,Top,Mod.,Titolare,Milan Sassuolo Juventus,0.6654861690160673,32,6.28,6.41,2,0,4,,12.4,9.770168818867136,3.6629406706792778,1,1,4159,47,31
D,Rrahmani,Napoli,15,78.3,Top,Mod.,Infortuni,Roma Bologna Frosinone,0.6119718859261434,21,6.24,6.45,2,0,3,,10.475,8.984512250253191,3.6629406706792778,1,1,4409,51,32
D,Bastoni,Inter,14,77.42,Top,Titolare,Mod.,Milan Sassuolo Juventus,0.6142792024999083,28,6.2,6.34,1,4,6,,13.325,8.322561775070007,1.8314703353396389,-1,-1,2120,43,27
D,Kalulu,Juventus,14,77.42,Semi-Top,Mod.,Titolare,Torino Genoa Roma,0.6818444685923168,37,6.14,6.35,2,4,2,,10.625,9.237969782723004,3.6629406706792778,1,1,4976,47,26
D,Pavlovic,Milan,14,77.42,Semi-Top,Mod.,Bonus,Inter Parma Cagliari,0.7660120315066583,34,6.24,6.62,5,0,4,,10.4,10.378314008867958,9.157351676698195,1,1,5022,49,25
D,Gila,Milan,13,76.44,Semi-Top,Titolare,Mod.,Inter Parma Cagliari,0.5630079661314162,31,6.03,5.95,0,0,3,,9.25,6.993403451301387,0,-1,-1,5833,31,26
D,N'Dicka,Roma,13,76.44,Semi-Top,Cartellini,Mod.,Lazio Napoli Juventus,0.6787735346148781,31,6.08,6.32,3,1,5,,8.45,8.431385460218708,5.494411006018916,1,1,4317,42,27
D,Solet,Udinese,13,76.44,Top,Mod.,Titolare,Genoa Lecce Milan,0.7678693703489062,34,6.18,6.4,3,1,1,,11.725,9.53808938378894,5.494411006018916,1,1,6956,46,26
D,Bisseck,Inter,12,75.48,Semi-Top,Bonus,Mod.,Milan Sassuolo Juventus,0.6661269792618569,23,6.22,6.65,3,2,2,,8.525,7.541889659202744,5.494411006018916,1,-1,6217,36,26
D,Stones,Inter,12,75.48,,,,Milan Sassuolo Juventus,0. N.D,,,,,,,,6.625, Prezzo N.D.,,,,2514,25,32
D,Di Lorenzo,Napoli,12,75.48,Semi-Top,Mod.,Bonus,Roma Bologna Frosinone,0.6423299148562955,26,6.08,6.33,2,1,1,,10.675,7.272459296002978,3.6629406706792778,-1,-1,2816,39,33
D,Ostigard,Genoa,11,74.47,Semi-Top,Cartellini,Bonus,Juventus Bologna Como,0.7253719019108935,30,6.13,6.52,5,0,7,,8.175,7.427536261104332,9.157351676698195,1,1,5750,41,27
D,Hermoso,Roma,11,74.47,Terza,Cartellini,Mod.,Lazio Napoli Juventus,0.6475635549943819,27,6.17,6.41,3,2,9,,4.6499999999999995,6.630807966809349,5.494411006018916,1,1,4807,26,31
D,Spence,Inter,11,74.47,Semi-Top,Bonus,Scommessa,Milan Sassuolo Juventus,,,,,,,,,10.325000000000001, Prezzo N.D.,,,,5982,37,26
D,Scalvini,Atalanta,10,73.3,Semi-Top,Cartellini,Infortuni,Frosinone Bologna Cagliari,0.6581030936385678,24,6.06,6.44,3,1,2,,4.8500000000000005,6.029869595463376,5.494411006018916,1,1,5526,28,23
D,Ramon,Como,10,73.3,Semi-Top,Mod.,Titolare,Fiorentina Frosinone Genoa,0.5979635607342966,32,6.16,6.14,2,0,11,,8.375,5.478841125227992,3.6629406706792778,1,1,6869,31,21
D,Chalobah T.,Como,10,73.3,Semi-Top,Scommessa,Bonus,Fiorentina Frosinone Genoa,,,,,,,,,8.200000000000001, Prezzo N.D.,,,,5641,32,27
D,Dodò,Fiorentina,9,72,jolly,Bonus,Infortuni,Cagliari Como Lazio,0.6314778385614624,36,5.99,6.03,1,2,7,,2.0500000000000003,5.114970492347846,1.8314703353396389,1,1,5885,20,28
D,Vasquez,Genoa,9,72,Terza,Titolare,Cartellini,Juventus Bologna Como,0.6539296122266638,36,6.08,6.14,1,0,2,,3.975,5.296829859035976,1.8314703353396389,-1,-1,5514,30,28
D,Vojvoda,Udinese,9,72,Terza,Bonus,Mod.,Genoa Lecce Milan,0.6388734154449877,27,6.02,6.24,2,1,2,,6,5.1748746651044,3.6629406706792778,1,1,4994,19,31
D,Kamara H.,Udinese,9,72,Quarta,Inaffidabile,,Genoa Lecce Milan,0.5518439251248485,26,5.88,5.87,0,2,5,,3.2,4.469935793511272,0,-1,-1,5555,12,32
D,Zappacosta,Atalanta,8,70.48,Semi-Top,Bonus,Infortuni,Frosinone Bologna Cagliari,0.7077874544692498,35,6.06,6.3,3,1,3,,4.75,4.9884859790992735,5.494411006018916,-1,-1,554,19,34
D,Miranda J.,Bologna,8,70.48,Terza,Bonus,Mod.,Atalanta Lecce Napoli,0.6147841711398355,31,6,6.1,1,3,6,,4.275,4.33299883819356,1.8314703353396389,-1,1,4734,23,26
D,Celik,Juventus,8,70.48,Terza,Mod.,Jolly,Torino Genoa Roma,0.6198897476774221,32,6.17,6.27,1,2,2,,4.074999999999999,4.368982941630471,1.8314703353396389,1,1,4657,16,29
D,Cambiaso,Juventus,8,70.48,jolly,Cartellini,Titolare,Torino Genoa Roma,0.6811832009539205,36,5.81,5.99,3,4,3,,5.625,4.800979200323232,5.494411006018916,-1,1,5520,18,26
D,Doekhi,Lazio,8,70.48,Terza,,,Roma Genoa Torino,0. N.D,,,,,,,,2.0500000000000003, Prezzo N.D.,,,,6320,16,28
D,Tiago Gabriel,Lecce,8,70.48,Quarta,Scommessa,Titolare,Parma Bologna Fiorentina,0.6539463842853207,36,6,6.01,2,0,7,,2.675,4.60901411644294,3.6629406706792778,-1,1,6989,20,22
D,Bartesaghi,Milan,8,70.48,Terza,Mod.,,Inter Parma Cagliari,0.645950442503212,31,5.97,6.05,2,0,3,,3.7,4.552658718762639,3.6629406706792778,1,1,6496,22,21
