id,ruolo,nome,squadra,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
2170,P,Milinkovic-Savic V.,Napoli,27,6.2,5.65,0,24,3,0,0,0,0,0,0,0
4957,P,Montipò,Verona,35,6.2,4.94,0,54,3,0,0,0,1,0,0,0
4431,P,Carnesecchi,Atalanta,37,6.36,5.58,0,35,2,0,0,0,0,0,0,0
4312,P,Maignan,Milan,37,6.26,5.42,0,35,2,0,0,0,0,4,0,0
2134,P,Falcone,Lecce,38,6.41,5.22,0,50,2,0,0,0,0,2,0,0
761,P,Audero,Cremonese,34,6.21,4.91,0,50,2,0,0,0,0,0,0,0
5876,P,Di Gregorio,Juventus,30,6.08,5.33,0,25,1,0,0,0,0,1,0,0
2521,P,De Gea,Fiorentina,37,6.24,5,0,49,1,0,0,0,0,0,0,0
2814,P,Provedel,Lazio,27,6.26,5.35,0,27,1,0,0,0,0,1,0,0
6641,P,Suzuki,Parma,20,6.02,4.75,0,28,1,0,0,0,0,1,0,0
4236,P,Muric,Sassuolo,32,6.08,4.77,0,43,1,0,0,0,0,4,0,0
7337,P,Motta,Lazio,9,6,5.17,0,10,1,0,0,0,0,1,0,0
6966,P,Butez,Como,38,6.07,5.37,0,29,1,0,0,0,1,3,0,0
6462,P,Okoye,Udinese,30,6.07,5.08,0,32,1,0,0,0,1,1,1,0
5841,P,Svilar,Roma,38,6.26,5.45,0,31,0,0,0,0,0,0,0,0
2428,P,Sommer,Inter,33,5.92,5.02,0,30,0,0,0,0,0,0,0,0
4360,P,Caprile,Cagliari,38,6.29,4.87,0,53,0,0,0,0,0,2,0,0
133,P,Skorupski,Bologna,18,6.19,5.28,0,15,0,0,0,0,0,1,1,0
7332,P,Bijlow,Genoa,16,6.06,4.78,0,20,0,0,0,0,0,1,0,0
188,P,Leali,Genoa,22,6.16,4.84,0,27,0,0,0,0,0,2,1,0
6662,P,Corvi,Parma,17,6.18,5.09,0,18,0,0,0,0,0,1,0,0
5320,P,Paleari,Torino,29,6.09,4.52,0,45,0,0,0,0,0,1,0,0
218,P,Perin,Juventus,9,6.11,5.11,0,9,0,0,0,0,0,0,0,0
4867,P,Turati,Sassuolo,6,6.17,5,0,7,0,0,0,0,0,0,0,0
2861,P,Semper,Pisa,25,6.06,4.38,0,42,0,0,0,0,0,0,0,0
7172,P,Pessina Mas.,Bologna,4,6.12,5.62,0,2,0,0,0,0,0,0,0,0
5116,P,Martinez Jo.,Inter,5,6,5.2,0,4,0,0,0,0,0,0,0,0
2722,P,Ravaglia F.,Bologna,17,6.21,4.38,0,29,0,0,0,0,0,4,0,0
6417,P,Furlanetto,Lazio,2,6.5,5,0,3,0,0,0,0,0,0,0,0
5135,P,Guaita,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
6403,P,Christensen O.,Fiorentina,1,7.5,6.5,0,1,0,0,0,0,0,0,0,0
2297,P,Rossi F.,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
4,P,Sportiello,Atalanta,1,5.5,4.5,0,1,0,0,0,0,0,0,0,0
4929,P,Ciocci,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P,Radunovic,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
2809,P,Vigorito,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
6505,P,Nava,Cremonese,0,0,0,0,0,0,0,0,0,0,0,0,0
6184,P,Martinelli T.,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
