nome_maiuscolo,prezzo_medio_per_1000_crediti
ADOPO,2.6
BALDANZI,21.6
BARELLA,61.400000000000006
BASTONI,53.3
BELLANOVA,9.9
BIRAGHI,1.9
BREMER,62.4
BUONGIORNO,4.4
CABAL,2
CALHANOGLU,147.79999999999998
CAMBIAGHI,5.7
CAMBIASO,22.5
CANCELLIERI,4.8999999999999995
CARLOS AUGUSTO,8.7
CARNESECCHI,84.5
CASALE,1.9
CATALDI,2.1
CELIK,16.299999999999997
COLOMBO,59.3
CRISTANTE,6.7
DE KETELAERE,82.5
DE ROON,3
DE SILVESTRI,1.6
DE WINTER,6.2
DI LORENZO,42.7
DIMARCO,134.3
DYBALA,138
EDERSON D.S.,37.699999999999996
FAGIOLI,3.7
FALCONE,15.4
FAZZINI,9.9
FERGUSON,3.9
FRATTESI,60.3
GAETANO,13.899999999999999
GALLO,4.5
GATTI,2.7
GILA,37
GOLLINI,1.8
HIEN,3.4
ILIC,2.3
ISMAJLI,2.8
KALULU,42.5
KEAN,200
KOOPMEINERS,3.4
LAZZARI,2.1
LOBOTKA,5.8999999999999995
LOCATELLI,8.1
MAIGNAN,89.2
MALDINI,15.7
MALEH,2.6
MANCINI,47.300000000000004
MANDRAGORA,5.8
MARTINEZ L.,374
MARUSIC,3.3
MAZZOCCHI,2.5
MERET,78.60000000000001
MESSIAS,2.4
MILINKOVIC-SAVIC V.,11.4
MKHITARYAN,2.8
MORO N.,2.2
OLIVERA,3
ORSOLINI,122.6
PADELLI,1.8
PARISI,2.2
PASALIC,6.2
PATRIC,1.7
PELLEGRINI LU.,2
PICCOLI,27.400000000000002
PINSOGLIO,1.8
POBEGA,2.1
POLITANO,30.200000000000003
PONGRACIC,2
PROVEDEL,11.299999999999999
RANIERI L.,2.5
RASPADORI,70
RICCI S.,2.5
ROMAGNOLI,3.3
ROVELLA,2.7
RRAHMANI,41.9
SAELEMAEKERS,21.5
SAMARDZIC,41.300000000000004
SCALVINI,19.400000000000002
SIMEONE,113.4
SKORUPSKI,23.2
SPINAZZOLA,22.8
SPORTIELLO,1.8
SULEMANA I.,1.9
SVILAR,104.7
TERRACCIANO,1.8
TOMORI,2.5
VASQUEZ,15.9
VOJVODA,24
WALUKIEWICZ,2.4
ZACCAGNI,82.3
ZALEWSKI,5.5
ZAMBO ANGUISSA,22.599999999999998
ZANOLI,2.3
ZAPATA D.,3.4
ZAPPACOSTA,19
ZIELINSKI,53.5
ZORTEA,7.9
CHUKWUEZE,18.599999999999998
THURAM,258.29999999999995
PULISIC,118.6
GUDMUNDSSON A.,37.3
MARTINEZ JO.,91.39999999999999
LOFTUS-CHEEK,4.7
LUCCA,5.2
FOLORUNSHO,3
BEUKEMA,3.3
CAPRILE,16.2
N'DICKA,33.8
DEIOLA,2.2
FABBIAN,3.2
BISSECK,34.1
FRENDRUP,3.2
KAMARA H.,12.8
KOLASINAC,2.6
GINEITIS,2.2
OBERT,4.2
SABELLI,2.1
ZARRAGA,1.8
KABASELE,3.2
SOMMARIVA,1.8
SCAMACCA,146.7
MUSAH,2.4
MINA,8.8
VLASIC,64.60000000000001
MCKENNIE,53.699999999999996
CONTINI,1.8
ISAKSEN,12.9
KABA,1.8
YILDIZ,89.39999999999999
KRSTOVIC,104.3
OKOYE,27
KRISTENSEN T.,12.200000000000001
MANDAS,32.7
DAVIS K.,138
HOLM,3
VITINHA O.,14.4
NOSLIN,2.6
ODGAARD,5.3
PIEROTTI,2.8
VALERI,15.7
CASTRO S.,49.3
GABBIA,6.2
BELAHYANE,1.6
CAMARDA,3.7
COMUZZO,6.5
DOUGLAS LUIZ,8.9
ADAMS C.,15
CUTRONE,8.8
DA CUNHA,66.69999999999999
BONNY,20.9
THURAM K.,12.7
ESPOSITO SE.,40.7
TAVARES N.,10
SOHM,2.3
DELE-BASHIRU,2.1
PAVLOVIC,41.6
MIRANDA J.,17.1
COCO,4.4
DELPRATO,12.5
GASPAR K.,3.1
ELLERTSSON,2.4
FELICI,2.2
PALEARI,2.5
MARCANDALLI,5.8
GOLDANIGA,1.8
GHILARDI,2.5
VALENTI,2.5
VIGORITO,1.8
CORVI,4.4
DOVBYK,69.5
ZERBIN,2.4
KARLSTROM,2.6
LIBERALI,7.2
PISILLI,5.7
EKKELENKAMP,40.300000000000004
DE GEA,42.1
MARIANUCCI,2
ALMQVIST,2.3
COULIBALY L.,2.7
TORRIANI,1.8
PINAMONTI,104.2
BRESCIANINI,2.6
FADERA,2.6
EKHATOR,2.4
NERES,10.9
TURATI,1.8
PAZ N.,166.3
PERRONE,11
CONCEICAO,68.1
JEAN,3.9
DOMINGUEZ B.,2.6
KOSSOUNOU,3.9
ANJORIN,1.7
KEMPF,5.6
MCTOMINAY,151.10000000000002
GILMOUR,1.8
KEITA M.,2.4
ATTA,70
VAN DER BREMPT,2.5
BERISHA M.,2.6
BASIC,2.9
BARTESAGHI,14.8
HAINAUT,2.9
NJIE,5.1000000000000005
JIMENEZ A.,20.7
DIAO,46.300000000000004
SOLET,46.9
BUTEZ,79
CAQUERET,2.4
HELGASON,2.8
MASINI,2.6
RENSCH,3.1
OTOA,2
VEIGA D.,2.9
TIAGO GABRIEL,10.7
CASADEI,13.4
N'DRI,2.7
VALLE,9.9
SMOLCIC I.,2.4
PROVSTGAARD,2.7
PELLEGRINO M.,64.19999999999999
KELLY L.,5.8
NDOUR,7.1000000000000005
DOUVIKAS,155.20000000000002
HERMOSO,18.599999999999998
RUGANI,2
EBOSSE,2.2
VENTURINO,2.3
DE BRUYNE,80.60000000000001
LANG,3.9
BERARDI,100.4
SOULÈ,35.8
LAURIENTÈ,66.4
MODRIC,24.8
KONÈ M.,34.1
BERNARDESCHI,21.9
BATURINA,103
ESPOSITO F.P.,137.2
LUIS HENRIQUE,2.6
ADDAI,2.3
BERNABÈ,12.3
GIOVANE,2.3
THORSTVEDT,7.8
ESTUPINAN,3
BORRELLI,2.2
DODÒ,8.200000000000001
WESLEY,80.4
JOAO MARIO,3.9
SUCIC P.,11.9
VITIK,2.4
BOLOCA,2
DOIG,3.1
LUCUMÌ,18.700000000000003
ABOUKHLAL,2.4
BAYO V.,1.9
ORDONEZ C.,2.6
BERTOLA,2.6
SULEMANA K.,2.3
RODRIGUEZ JE.,17.6
VOLPATO,7.3
KONÈ I.,2.8
PESSINA MAS.,1.8
RUSSO A.,1.8
IDRISSI R.,2.2
PIERAGNOLO,1.9
LIPANI,2.3
FLORIANI MUSSOLINI,3.5
OSTIGARD,32.7
RAMON,33.5
LEZZERINI,1.8
PIOTROWSKI,2.7
LITETA,2
PALMA,2.8
NDABA,2.2
JASHARI,2.8
NDIAYE,2.1
CHRISTENSEN O.,1.8
IDZES,4.5
MURIC,7.6
MILLER L.,2.1
CANDÈ,2.1
HEGGEM,4.4
FRIGAN,2.2
ADZIC,9.5
TROILO,3
ILKHAN,2.2
ROWE,46.199999999999996
DIOUF,31.8
MATIC,2.6
SIEBERT,2.2
STULIC,2.8
BELLA-KOTCHAP,3.3
BRITSCHGI,2.2
ORISTANIO,3
ZIOLKOWSKI,2.1
HOJLUND,286.9
ZHEGROVA,3.7
RABIOT,88.4
AKANJI,49.6
ZANIOLO,59.1
GUEYE,2.2
RODRIGUEZ JU.,2.8
ZÈ PEDRO,2.7
NICOLUSSI CAVIGLIA,2.5
CREMASCHI,1.8
VERGARA,17.6
KOUADIO,2.4
BERNASCONI,17.8
TORNQVIST,1.8
SHERRI,1.8
TAYLOR K.,31.7
GORTER,2.2
GANDELMAN,2.4
TREPY,1.9
ARIZALA,2.5
NGOM,2.7
FOFANA SA.,1.7
MALEN,409.7
HELLAND,2.4
MOTTA,2
BIJLOW,11.6
BOGA,17
ELPHEGE,3
AMORIM,2.5
KULENOVIC,2
PRZYBOREK,1.8
