fonte,squadra,giocatore_a,giocatore_b,pct_a,pct_b
fantacalcio.it,Cagliari,Kevin Carlos,Mendy P.,55,45
fantacalcio.it,Lecce,Ilic,Ngom,60,40
fantacalcio.it,Lecce,Gorter,Maleh,55,45
fantacalcio.it,Lecce,Monteiro J.,N Dri,55,45
fantacalcio.it,Lazio,Gudmundsson A.,Isaksen,55,45
fantacalcio-online,Atalanta,Rowe,Raspadori,65,40
fantacalcio-online,Atalanta,Kessie,Samardzic,73,29
fantacalcio-online,Atalanta,Kristensen,Kossounou,74,11
fantacalcio-online,Atalanta,Bernasconi,Kolasinac,67,10
fantacalcio-online,Bologna,Zortea,Holm,62,38
fantacalcio-online,Cagliari,Kevin Carlos,Nzola,67,17
fantacalcio-online,Como,Kean,Douvikas,62,46
fantacalcio-online,Como,Kaiki,Valle,50,42
fantacalcio-online,Fiorentina,Beto,Pellegrino,58,51
fantacalcio-online,Fiorentina,Oulai,Fagioli,67,38
fantacalcio-online,Fiorentina,Goncalves,Njie,62,38
fantacalcio-online,Genoa,Ellertsson,Mitaj,77,43
fantacalcio-online,Inter,Jones,Zielinski,56,42
fantacalcio-online,Inter,Akanji,Stones,96,69
fantacalcio-online,Lazio,Doekhi,Sutalo,69,61
fantacalcio-online,Lazio,Pinamonti,Isaksen,85,68
fantacalcio-online,Lecce,Monteiro,Fatah,50,19
fantacalcio-online,Milan,Pulisic,Saelemaekers,92,38
fantacalcio-online,Monza,Tornqvist,Thiam,58,42
fantacalcio-online,Monza,Ngonge,Colpani,59,44
fantacalcio-online,Napoli,Badiashile,Beukema,68,21
fantacalcio-online,Napoli,Anguissa,De Bruyne,65,58
fantacalcio-online,Napoli,Politano,Neres,67,10
fantacalcio-online,Parma,Corvi,Daffara,58,42
fantacalcio-online,Parma,Fabbian,Lontani,56,47
fantacalcio-online,Sassuolo,Adzic,Bakola,74,65
fantacalcio-online,Torino,Cacciamani,Belghali,71,52
fantacalcio-online,Torino,Casadei,Adams,72,18
fantacalcio-online,Udinese,Kabasele,Palma,95,41
fantacalcio-online,Udinese,Piotrowski,Miller,61,28
fantacalcio-online,Venezia,Correia,Hainaut,72,68
fantacalcio-online,Venezia,Sohm,Perez,56,54
fantamaster,Atalanta,Zappacosta,Bellanova,,
fantamaster,Atalanta,Kessie,Pasalic,,
fantamaster,Atalanta,Scamacca,Krstovic,,
fantamaster,Bologna,Zortea,Holm,,
fantamaster,Bologna,Amondarain,Pobega,,
fantamaster,Bologna,Piccoli,Dovbyk,,
fantamaster,Cagliari,Fazzini,Fadera,,
fantamaster,Cagliari,Kevin Carlos,Nzola,,
fantamaster,Como,Valle,Kaiki,,
fantamaster,Como,Kean,Douvikas,,
fantamaster,Fiorentina,Pongracic,Viery,,
fantamaster,Fiorentina,Fagioli,Oulai,,
fantamaster,Fiorentina,Pellegrino,Beto,,
fantamaster,Frosinone,Calo,Grillitsch,,
fantamaster,Frosinone,Fini,Zerbin,,
fantamaster,Genoa,Baldanzi,Traore,,
fantamaster,Genoa,Vitinha,El Shaarawy,,
fantamaster,Inter,Bisseck,Stones,,
fantamaster,Inter,Zielinski,Sucic,,
fantamaster,Inter,Thuram,Esposito F.P.,,
fantamaster,Juventus,Douglas Luiz,Sarr,,
fantamaster,Juventus,Kolo Muani,Woltemade,,
fantamaster,Lazio,Sutalo,Doekhi,,
fantamaster,Lazio,Nuno Tavares,Pedraza,,
fantamaster,Lecce,Coulibaly,Berisha,,
fantamaster,Lecce,Pierotti,Monteiro,,
fantamaster,Lecce,Stulic,Geubbels,,
fantamaster,Milan,Modric,Jashari,,
fantamaster,Milan,Rabiot,Saelemaekers,,
fantamaster,Monza,Colpani,Zeballos,,
fantamaster,Monza,Cutrone,Ngonge,,
fantamaster,Napoli,Anguissa,De Bruyne,,
fantamaster,Napoli,Santos,Neres,,
fantamaster,Parma,Romero,Elphege,,
fantamaster,Roma,Hermoso,Koulierakis,,
fantamaster,Roma,Molina,Lulli,,
fantamaster,Roma,Mora,Soule,,
fantamaster,Sassuolo,Adzic,Thorstvedt,,
fantamaster,Sassuolo,Bowie,Esposito,,
fantamaster,Torino,Mandragora,Braganca,,
fantamaster,Torino,Fitz-Jim,Gineitis,,
fantamaster,Torino,Casadei,Adams,,
fantamaster,Udinese,Piotrowski,Miller,,
fantamaster,Venezia,Mazzocchi,Hainaut,,
fantamaster,Venezia,Haps,Correia,,
fantamaster-g3,Juventus,Lucumi,Kelly,,
fantamaster-g3,Juventus,Boga,Alajbegovic,,
fantamaster-g3,Milan,Bartesaghi,Estupinan,,
fantamaster-g3,Milan,Rabiot,Loftus-Cheek,,
fantamaster-g3,Milan,Cisse,Saelemaekers,,
fantamaster-g3,Cagliari,Mendy,Kevin Carlos,,
fantamaster-g3,Cagliari,Fazzini,Fadera,,
fantamaster-g3,Lecce,Ilic,Ngom,,
fantamaster-g3,Lecce,Gorter,Maleh,,
fantamaster-g3,Lecce,Gallo,Ndaba,,
fantamaster-g3,Lecce,Pierotti,Monteiro,,
fantamaster-g3,Lazio,Floriani Mussolini,Lazzari,,
fantamaster-g3,Lazio,Gudmundsson,Isaksen,,
fantamaster-g3,Lazio,Gudmundsson,Cancellieri,,
