id,nome,squadra,ruolo,fonti_squadra,peso_titolare,titolarita_web,accordo,presenze_web,fonti_che_lo_schierano,ballottaggio_con,ballottaggio_id,ballottaggio_pct,rigorista_web,rigorista_fonti,stato,rientro_stimato,partite_saltate,fuori_lista
3,Radunovic,Cagliari,P,7.0,0.1,0.014,0.971,2.8,1,,,,,0,,,,0
4,Sportiello,Atalanta,P,5.0,0.1,0.02,0.96,2.9,1,,,,,0,,,,0
22,De Roon,Roma,C,5.0,1.1,0.22,0.56,18.0,1,,,,,0,,,,0
133,Skorupski,Bologna,P,5.0,5.0,1.0,1.0,34.1,4,,,,,0,,,,0
152,Zielinski,Inter,C,5.0,3.0,0.6,0.2,24.0,2,Jones C.|Sucic P.,5172|7070,42|,2,2,,,,0
158,Lezzerini,Fiorentina,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
184,Bernardeschi,Bologna,C,5.0,4.0,0.8,0.6,27.2,3,,,,2,2,,,,0
218,Perin,Juventus,P,7.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
219,Sommariva,Genoa,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
252,Biraghi,Torino,D,5.0,0.4,0.08,0.84,14.8,1,,,,,0,,,,0
254,Dimarco,Inter,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
256,Juan Jesus,Venezia,D,5.0,3.0,0.6,0.2,23.6,3,,,,,0,,,,0
294,Rugani,Juventus,D,7.0,0.5,0.071,0.857,14.6,1,,,,,0,,,,0
309,Dybala,Roma,A,5.0,5.0,1.0,1.0,30.1,4,,,,2,2,,,,0
313,Morata,Como,A,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
327,Patric,Lazio,D,7.0,0.0,0.0,1.0,13.4,0,,,,,0,,,,0
333,Cataldi,Lazio,C,7.0,0.0,0.0,1.0,14.1,0,,,,,0,ernia bilaterale,2026-09-15,1,0
383,Petagna,Monza,A,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
418,Goldaniga,Como,D,5.0,0.4,0.08,0.84,14.8,1,,,,,0,,,,0
460,Romagnoli,Lazio,D,7.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
487,De Silvestri,Bologna,D,5.0,0.4,0.08,0.84,14.8,1,,,,,0,,,,0
526,Duncan,Venezia,C,5.0,0.0,0.0,1.0,14.5,0,,,,,0,,,,0
530,Pellegrini Lo.,Roma,C,5.0,0.0,0.0,1.0,14.5,0,,,,,0,,,,0
531,Berardi,Sassuolo,A,5.0,4.1,0.82,0.64,27.1,4,,,,1,2,,,,0
536,Politano,Napoli,C,5.0,5.0,1.0,1.0,30.4,4,Neres,6831,67,3,1,,,,0
543,Padelli,Udinese,P,7.0,0.02,0.003,0.994,2.4,1,,,,,0,,,,0
554,Zappacosta,Atalanta,D,5.0,3.2,0.64,0.28,24.3,3,Bellanova,4887,,,0,,,,0
572,Meret,Napoli,P,5.0,5.0,1.0,1.0,34.1,4,,,,,0,fastidio muscolare alla coscia sinistra,2026-09-11,0,0
608,Zapata D.,Torino,A,5.0,1.1,0.22,0.56,16.9,1,,,,2,1,,,,0
610,Gollini,Roma,P,5.0,0.1,0.02,0.96,2.9,1,,,,,0,,,,0
632,Zaccagni,Lazio,C,7.0,6.8,0.971,0.943,29.9,5,,,,1,2,,,,0
779,Cristante,Roma,C,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
787,Djimsiti,Atalanta,D,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
791,Sabelli,Genoa,D,5.0,2.0,0.4,0.2,20.2,1,,,,,0,,,,0
795,El Shaarawy,Genoa,C,5.0,1.6,0.32,0.36,19.6,2,Vitinha O.,6164,,,0,,,,0
801,Gagliardini,Cagliari,C,7.0,1.1,0.157,0.686,17.0,1,,,,,0,,,,0
827,Locatelli,Juventus,C,7.0,7.0,1.0,1.0,18.4,5,,,,2,2,rottura del menisco esterno del ginocchio,2027-01-06,15,0
1850,Kessiè,Atalanta,C,5.0,3.8,0.76,0.52,26.6,4,Samardzic|Pasalic,5119|2077,73|,1,2,,,,0
1852,Spinazzola,Napoli,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
1870,Barella,Inter,C,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
1871,Deiola,Cagliari,C,7.0,3.8,0.543,0.086,23.1,2,,,,,0,,,,0
1926,Di Gennaro,Inter,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
1930,Pinsoglio,Juventus,P,7.0,0.02,0.003,0.994,2.4,1,,,,,0,,,,0
1933,Mandragora,Torino,C,5.0,5.0,1.0,1.0,30.4,4,Braganca,7624,,2,1,,,,0
2012,Milik,Juventus,A,7.0,0.6,0.0,0.829,0.0,1,,,,,0,,,,1
2038,Pinamonti,Lazio,A,7.0,6.8,0.971,0.943,29.6,5,Isaksen,6398,85,3,1,,,,0
2061,Simeone,Torino,A,5.0,4.2,0.84,0.68,27.4,4,,,,3,2,,,,0
2077,Pasalic,Atalanta,C,5.0,1.2,0.24,0.52,18.3,1,Kessiè,1850,,,0,,,,0
2097,Kean,Como,A,5.0,3.2,0.64,0.28,24.0,3,Douvikas,7017,62,2,1,,,,0
2115,Delli Carri,Monza,D,5.0,0.0,0.0,1.0,0.0,0,,,,,0,,,,1
2120,Bastoni,Inter,D,5.0,5.0,1.0,1.0,30.4,4,,,,,0,,,,0
2127,Satalino,Sassuolo,P,5.0,0.02,0.004,0.992,2.4,1,,,,,0,,,,0
2134,Falcone,Lecce,P,7.0,6.8,0.971,0.943,33.2,5,,,,,0,,,,0
2137,Scamacca,Atalanta,A,5.0,5.0,1.0,1.0,30.1,4,Krstovic,6435,,2,2,,,,0
2155,Cutrone,Monza,A,5.0,2.0,0.4,0.2,20.0,2,Ngonge,6145,,2,2,,,,0
2167,Orsolini,Bologna,C,5.0,3.0,0.6,0.2,22.8,3,,,,1,2,risentimento ai flessori della coscia sinistra,2026-09-28,2,0
