fonte,url,tipo,peso,letta_il,nota
fantacalcio.it,https://www.fantacalcio.it/probabili-formazioni-serie-a,"probabili formazioni della giornata, titolari e panchina con percentuali di impiego",2.0,2026-09-07,"giornata 3 completa: tutte e venti le squadre, con la panchina e la probabilita di impiego di ciascuno"
fantacalcio-online,https://www.fantacalcio-online.com/it/consigli-fantacalcio/formazioni-tipo-serie-a-2026-2027,"consenso dichiarato di dieci guide, con percentuali",1.5,2026-09-03,riporta solo le maglie su cui le guide si esprimono
sosfanta,https://www.sosfanta.com/asta-fantacalcio/seriea-tutte-formazioni-tipo-fantacalcio-2026-2027-asta-consigli-chi-prendere/,"formazioni tipo per l'asta, con le alternative",1.0,2026-09-03,
calciodangolo,https://calciodangolo.com/fantacalcio-come-giocherebbero-oggi-formazioni-tipo-serie-a-2026-2027/,"formazioni tipo ""come giocherebbero oggi""",1.0,2026-09-03,
fantamaster,https://www.fantamaster.it/probabili-formazioni-seriea-2026-2027-moduli-titolari-ballottaggi/,probabili formazioni con i ballottaggi aperti,1.0,2026-09-03,
fantamaster-g3,https://www.fantamaster.it/probabili-formazioni-3-giornata-seriea-2026-2027-titolari-ballottaggi-ultime-dai-campi/,probabili formazioni della giornata,2.0,2026-09-03,"lettura del 3 settembre sulle sei squadre che allora mancavano; ora fantacalcio.it le copre tutte, resta come secondo parere"
fantacalcio.it-infortuni,https://www.fantacalcio.it/infortunati-serie-a,infortunati e indisponibili,1.0,2026-09-07,riletta per intero: 50 indisponibili con i tempi di rientro dichiarati
goal.com,https://www.goal.com/it/liste/fantacalcio-rigoristi-serie-a-2026-2027-tiratori-e-gerarchie-dal-dischetto-delle-20-squadre-del-campionato/bltdebca56c3bd91419,gerarchie dal dischetto,1.0,2026-09-03,
fantamaster-rigori,https://www.fantamaster.it/rigoristi-seriea-fantacalcio-2026-2027-gerarchie-20-squadre/,gerarchie dal dischetto,1.0,2026-09-03,
liste-serie-a,https://www.tuttosport.com/news/calcio/serie-a/juventus/2026/09/05-151032855/lista_juve_serie_a_chi_sono_gli_esclusi_e_che_dice_il_regolamento_per_i_cambi,esclusi dalla lista di serie A e usciti dal campionato,1.0,2026-09-07,incrociata con il listone di fantacalcio-online del 7 settembre
