fonte,squadra,modulo,posto,giocatore,ruolo,pct
fantacalcio.it,Genoa,3-5-2,1,Bijlow,P,100
fantacalcio.it,Genoa,3-5-2,2,Marcandalli,D,100
fantacalcio.it,Genoa,3-5-2,3,Ostigard,D,100
fantacalcio.it,Genoa,3-5-2,4,Vasquez,D,100
fantacalcio.it,Genoa,3-5-2,5,Sabelli,D,100
fantacalcio.it,Genoa,3-5-2,6,Frendrup,C,100
fantacalcio.it,Genoa,3-5-2,7,Sow,C,100
fantacalcio.it,Genoa,3-5-2,8,Baldanzi,C,100
fantacalcio.it,Genoa,3-5-2,9,Ellertsson,C,100
fantacalcio.it,Genoa,3-5-2,10,Colombo,A,100
fantacalcio.it,Genoa,3-5-2,11,Osmajic,A,100
fantacalcio.it,Genoa,3-5-2,12,Stolz,P,5
fantacalcio.it,Genoa,3-5-2,13,Sommariva,P,1
fantacalcio.it,Genoa,3-5-2,14,Otoa,D,35
fantacalcio.it,Genoa,3-5-2,15,Mitaj,D,60
fantacalcio.it,Genoa,3-5-2,16,Puczka,D,35
fantacalcio.it,Genoa,3-5-2,17,Ehizibue,D,25
fantacalcio.it,Genoa,3-5-2,18,Amorim,C,60
fantacalcio.it,Genoa,3-5-2,19,Messias,C,60
fantacalcio.it,Genoa,3-5-2,20,Traorè Hj.,C,35
fantacalcio.it,Genoa,3-5-2,21,Meichtry,C,55
fantacalcio.it,Genoa,3-5-2,22,El Shaarawy,C,30
fantacalcio.it,Genoa,3-5-2,23,Vitinha O.,A,60
fantacalcio.it,Como,4-2-3-1,1,Butez,P,100
fantacalcio.it,Como,4-2-3-1,2,Couto,D,100
fantacalcio.it,Como,4-2-3-1,3,Chalobah T.,D,100
fantacalcio.it,Como,4-2-3-1,4,Ramon,D,100
fantacalcio.it,Como,4-2-3-1,5,Valle,D,100
fantacalcio.it,Como,4-2-3-1,6,Da Cunha,C,100
fantacalcio.it,Como,4-2-3-1,7,Perrone,C,100
fantacalcio.it,Como,4-2-3-1,8,Diao,A,100
fantacalcio.it,Como,4-2-3-1,9,Paz N.,C,100
fantacalcio.it,Como,4-2-3-1,10,Baturina,C,100
fantacalcio.it,Como,4-2-3-1,11,Douvikas,A,100
fantacalcio.it,Como,4-2-3-1,12,Sanchez Ro.,P,5
fantacalcio.it,Como,4-2-3-1,13,Vigorito,P,1
fantacalcio.it,Como,4-2-3-1,14,Smolcic I.,D,55
fantacalcio.it,Como,4-2-3-1,15,Kaiki,D,60
fantacalcio.it,Como,4-2-3-1,16,Kambwala,D,25
fantacalcio.it,Como,4-2-3-1,17,Kempf,D,40
fantacalcio.it,Como,4-2-3-1,18,Goldaniga,D,20
fantacalcio.it,Como,4-2-3-1,19,Milla,C,60
fantacalcio.it,Como,4-2-3-1,20,Caqueret,C,30
fantacalcio.it,Como,4-2-3-1,21,Lahdo,C,15
fantacalcio.it,Como,4-2-3-1,22,Ricci S.,C,35
fantacalcio.it,Como,4-2-3-1,23,Liberali,C,40
fantacalcio.it,Como,4-2-3-1,24,Rodriguez Je.,C,60
fantacalcio.it,Como,4-2-3-1,25,Kean,A,60
fantacalcio.it,Fiorentina,4-3-2-1,1,De Gea,P,100
fantacalcio.it,Fiorentina,4-3-2-1,2,Joao Mario,D,100
fantacalcio.it,Fiorentina,4-3-2-1,3,Dragusin,D,100
fantacalcio.it,Fiorentina,4-3-2-1,4,Viery,D,100
fantacalcio.it,Fiorentina,4-3-2-1,5,Valdepenas,D,100
fantacalcio.it,Fiorentina,4-3-2-1,6,Oulai,C,100
fantacalcio.it,Fiorentina,4-3-2-1,7,Fagioli,C,100
fantacalcio.it,Fiorentina,4-3-2-1,8,Brescianini,C,100
fantacalcio.it,Fiorentina,4-3-2-1,9,Mastantuono,C,100
fantacalcio.it,Fiorentina,4-3-2-1,10,Njie,C,100
fantacalcio.it,Fiorentina,4-3-2-1,11,Pellegrino M.,A,100
fantacalcio.it,Fiorentina,4-3-2-1,12,Christensen O.,P,5
fantacalcio.it,Fiorentina,4-3-2-1,13,Lezzerini,P,1
fantacalcio.it,Fiorentina,4-3-2-1,14,Dodò,D,20
fantacalcio.it,Fiorentina,4-3-2-1,15,Jimenez A.,D,60
fantacalcio.it,Fiorentina,4-3-2-1,16,Ranieri L.,D,40
fantacalcio.it,Fiorentina,4-3-2-1,17,Pongracic,D,30
fantacalcio.it,Fiorentina,4-3-2-1,18,Atta,C,25
fantacalcio.it,Fiorentina,4-3-2-1,19,Ndour,C,60
fantacalcio.it,Fiorentina,4-3-2-1,20,Goncalves P.,C,55
fantacalcio.it,Fiorentina,4-3-2-1,21,Gnonto,A,55
fantacalcio.it,Fiorentina,4-3-2-1,22,Beto,A,60
fantacalcio.it,Torino,3-5-1-1,1,Perri,P,100
fantacalcio.it,Torino,3-5-1-1,2,Comuzzo,D,100
fantacalcio.it,Torino,3-5-1-1,3,Coco,D,100
fantacalcio.it,Torino,3-5-1-1,4,Comert,D,100
fantacalcio.it,Torino,3-5-1-1,5,Fortini,D,100
fantacalcio.it,Torino,3-5-1-1,6,Gineitis,C,100
fantacalcio.it,Torino,3-5-1-1,7,Mandragora,C,100
fantacalcio.it,Torino,3-5-1-1,8,Fitz-Jim,C,100
fantacalcio.it,Torino,3-5-1-1,9,Cacciamani,C,100
fantacalcio.it,Torino,3-5-1-1,10,Vlasic,C,100
fantacalcio.it,Torino,3-5-1-1,11,Adams C.,A,100
fantacalcio.it,Torino,3-5-1-1,12,Mascardi,P,5
fantacalcio.it,Torino,3-5-1-1,13,Siviero,P,1
fantacalcio.it,Torino,3-5-1-1,14,Ismajli,D,40
fantacalcio.it,Torino,3-5-1-1,15,Belghali,D,60
fantacalcio.it,Torino,3-5-1-1,16,Patterson,D,40
fantacalcio.it,Torino,3-5-1-1,17,Biraghi,D,20
fantacalcio.it,Torino,3-5-1-1,18,Ilkhan,C,40
fantacalcio.it,Torino,3-5-1-1,19,Aboukhlal,C,30
fantacalcio.it,Torino,3-5-1-1,20,Braganca,C,55
fantacalcio.it,Torino,3-5-1-1,21,Oristanio,C,55
fantacalcio.it,Torino,3-5-1-1,22,Zapata D.,A,55
fantacalcio.it,Torino,3-5-1-1,23,Simeone,A,60
fantacalcio.it,Torino,3-5-1-1,24,Kulenovic,A,35
fantacalcio.it,Inter,3-5-2,1,Martinez Jo.,P,100
fantacalcio.it,Inter,3-5-2,2,Bisseck,D,100
fantacalcio.it,Inter,3-5-2,3,Akanji,D,100
fantacalcio.it,Inter,3-5-2,4,Bastoni,D,100
fantacalcio.it,Inter,3-5-2,5,Diouf,C,100
fantacalcio.it,Inter,3-5-2,6,Barella,C,100
fantacalcio.it,Inter,3-5-2,7,Zielinski,C,100
fantacalcio.it,Inter,3-5-2,8,Sucic P.,C,100
fantacalcio.it,Inter,3-5-2,9,Dimarco,D,100
fantacalcio.it,Inter,3-5-2,10,Martinez L.,A,100
fantacalcio.it,Inter,3-5-2,11,Esposito F.P.,A,100
fantacalcio.it,Inter,3-5-2,12,Provedel,P,5
fantacalcio.it,Inter,3-5-2,13,Di Gennaro,P,1
fantacalcio.it,Inter,3-5-2,14,Pavard,D,55
fantacalcio.it,Inter,3-5-2,15,Stones,D,55
fantacalcio.it,Inter,3-5-2,16,Carlos Augusto,D,40
fantacalcio.it,Inter,3-5-2,17,Calhanoglu,C,60
fantacalcio.it,Inter,3-5-2,18,Luis Henrique,C,30
fantacalcio.it,Inter,3-5-2,19,Jones C.,C,60
fantacalcio.it,Inter,3-5-2,20,Stankovic A.,C,25
fantacalcio.it,Inter,3-5-2,21,Mkhitaryan,C,40
fantacalcio.it,Inter,3-5-2,22,Bonny,A,40
fantacalcio.it,Inter,3-5-2,23,Thuram,A,60
fantacalcio.it,Napoli,4-3-3,1,Meret,P,100
fantacalcio.it,Napoli,4-3-3,2,Di Lorenzo,D,100
fantacalcio.it,Napoli,4-3-3,3,Rrahmani,D,100
fantacalcio.it,Napoli,4-3-3,4,Marin R.,D,100
fantacalcio.it,Napoli,4-3-3,5,Spinazzola,D,100
fantacalcio.it,Napoli,4-3-3,6,Zambo Anguissa,C,100
fantacalcio.it,Napoli,4-3-3,7,Lobotka,C,100
fantacalcio.it,Napoli,4-3-3,8,Vergara,C,100
fantacalcio.it,Napoli,4-3-3,9,Politano,C,100
fantacalcio.it,Napoli,4-3-3,10,Hojlund,A,100
fantacalcio.it,Napoli,4-3-3,11,Santos A.,A,100
fantacalcio.it,Napoli,4-3-3,12,Milinkovic-Savic V.,P,5
fantacalcio.it,Napoli,4-3-3,13,Contini,P,1
fantacalcio.it,Napoli,4-3-3,14,Olivera,D,60
fantacalcio.it,Napoli,4-3-3,15,Favasuli,D,20
fantacalcio.it,Napoli,4-3-3,16,Beukema,D,35
fantacalcio.it,Napoli,4-3-3,17,Badiashile,D,30
fantacalcio.it,Napoli,4-3-3,18,Gilmour,C,35
fantacalcio.it,Napoli,4-3-3,19,De Bruyne,C,60
fantacalcio.it,Napoli,4-3-3,20,Lang,A,55
fantacalcio.it,Napoli,4-3-3,21,Neres,A,50
fantacalcio.it,Napoli,4-3-3,22,Lucca,A,60
fantacalcio.it,Roma,3-4-2-1,1,Svilar,P,100
fantacalcio.it,Roma,3-4-2-1,2,Mancini,D,100
fantacalcio.it,Roma,3-4-2-1,3,N'Dicka,D,100
fantacalcio.it,Roma,3-4-2-1,4,Hermoso,D,100
fantacalcio.it,Roma,3-4-2-1,5,Lulli,D,100
fantacalcio.it,Roma,3-4-2-1,6,Konè M.,C,100
fantacalcio.it,Roma,3-4-2-1,7,Cristante,C,100
fantacalcio.it,Roma,3-4-2-1,8,Wesley,D,100
fantacalcio.it,Roma,3-4-2-1,9,Dybala,A,100
fantacalcio.it,Roma,3-4-2-1,10,Mora,C,100
fantacalcio.it,Roma,3-4-2-1,11,Malen,A,100
fantacalcio.it,Roma,3-4-2-1,12,Gollini,P,5
fantacalcio.it,Roma,3-4-2-1,13,De Marzi,P,1
fantacalcio.it,Roma,3-4-2-1,14,Molina N.,D,55
fantacalcio.it,Roma,3-4-2-1,15,Koulierakis,D,30
fantacalcio.it,Roma,3-4-2-1,16,Rensch,D,35
fantacalcio.it,Roma,3-4-2-1,17,Ghilardi,D,40
fantacalcio.it,Roma,3-4-2-1,18,Balerdi,D,25
fantacalcio.it,Roma,3-4-2-1,19,Pisilli,C,60
fantacalcio.it,Roma,3-4-2-1,20,De Roon,C,55
fantacalcio.it,Roma,3-4-2-1,21,Soulè,A,60
fantacalcio.it,Roma,3-4-2-1,22,Castro S.,A,60
fantacalcio.it,Atalanta,4-3-3,1,Carnesecchi,P,100
fantacalcio.it,Atalanta,4-3-3,2,Bellanova,D,100
fantacalcio.it,Atalanta,4-3-3,3,Kossounou,D,100
fantacalcio.it,Atalanta,4-3-3,4,Scalvini,D,100
fantacalcio.it,Atalanta,4-3-3,5,Kolasinac,D,100
fantacalcio.it,Atalanta,4-3-3,6,Samardzic,C,100
fantacalcio.it,Atalanta,4-3-3,7,Gaetano,C,100
fantacalcio.it,Atalanta,4-3-3,8,Ederson D.S.,C,100
fantacalcio.it,Atalanta,4-3-3,9,De Ketelaere,A,100
fantacalcio.it,Atalanta,4-3-3,10,Scamacca,A,100
fantacalcio.it,Atalanta,4-3-3,11,Elmas,C,100
fantacalcio.it,Atalanta,4-3-3,12,Sportiello,P,5
fantacalcio.it,Atalanta,4-3-3,13,Pompei,P,1
fantacalcio.it,Atalanta,4-3-3,14,Bernasconi,D,60
fantacalcio.it,Atalanta,4-3-3,15,Zappacosta,D,60
fantacalcio.it,Atalanta,4-3-3,16,Kristensen T.,D,40
fantacalcio.it,Atalanta,4-3-3,17,Pasalic,C,60
fantacalcio.it,Atalanta,4-3-3,18,Kessiè,C,40
fantacalcio.it,Atalanta,4-3-3,19,Rowe,C,55
fantacalcio.it,Atalanta,4-3-3,20,Zalewski,C,40
fantacalcio.it,Atalanta,4-3-3,21,Raspadori,A,60
fantacalcio.it,Atalanta,4-3-3,22,Krstovic,A,60
fantacalcio.it,Frosinone,4-2-3-1,1,Palmisani,P,100
fantacalcio.it,Frosinone,4-2-3-1,2,Oyono A.,D,100
