squadra,giocatore,motivo,fonte,letta_il
Juventus,Milik,escluso dalla lista di serie A: nessuna garanzia fisica e l'arrivo di Woltemade,"tuttosport.com, eurosport.it, calciomercato.com",2026-09-07
Juventus,Thuram K.,"escluso dalla lista di serie A: operato al ginocchio, rientro previsto a gennaio","tuttosport.com, eurosport.it, calciomercato.com",2026-09-07
Milan,Leao,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Milan,Nkunku,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Lazio,Dia,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Napoli,Lukaku,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Juventus,Di Gregorio,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Lazio,Ratkov,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Bologna,Dallinga,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Genoa,Norton-Cuffy,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Juventus,David,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Napoli,Gutierrez,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Atalanta,Djimsiti,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Parma,Suzuki,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Atalanta,Ahanor,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Cagliari,Mutandwa,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Juventus,Perin,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Lazio,Romagnoli,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Milan,Gimenez,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Parma,Circati,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Parma,Ondrejka,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Torino,Pedersen,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Cagliari,Zappa,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Cagliari,Prati,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
Cagliari,Borrelli,"non e piu in serie A: tolto dal listone dopo la chiusura del mercato, mai convocato in giornata 3","fantacalcio-online.com (lista aggiornata al 07/09), fantacalcio.it (probabili formazioni)",2026-09-07
