squadra,giocatore,problema,rientro_testo,rientro_stimato
Atalanta,Sulemana K.,lesione del collaterale mediale del ginocchio sinistro,inizio ottobre,2026-10-05
Atalanta,Hien,"lesione del tendine del semimembranoso, operato",inizio ottobre,2026-10-05
Bologna,Orsolini,risentimento ai flessori della coscia sinistra,fine settembre,2026-09-28
Bologna,El Azzouzi O.,lesione del bicipite femorale,seconda meta di settembre,2026-09-18
Cagliari,Mina,noie fisiche,dalla 4a giornata,2026-09-11
Cagliari,Trepy,condizioni monitorate dopo il ricovero di agosto,da valutare,2026-09-11
Cagliari,Idrissi R.,rottura del legamento crociato,fine ottobre,2026-10-27
Como,Addai,rottura del tendine d Achille,seconda meta di settembre,2026-09-18
Fiorentina,Parisi,legamento crociato del ginocchio,novembre,2026-11-10
Genoa,Venturino,operato al tendine rotuleo,fine ottobre,2026-10-27
Genoa,Havel,fastidio muscolare alla gamba,dalla 4a giornata,2026-09-11
Juventus,Yildiz,"frattura del quinto metatarso, operato",fine novembre,2026-11-27
Juventus,Sarr P.,noie fisiche,dalla 4a giornata,2026-09-11
Juventus,Ekhator,lesione del semitendinoso,fine ottobre,2026-10-27
Juventus,Thuram K.,"sindrome femoro-rotulea, operato il 3 settembre",gennaio,2027-01-06
Juventus,McKennie,affaticamento muscolare alla gamba,da valutare per la 4a,2026-09-11
Juventus,Cambiaso,fastidio alla caviglia,da valutare per la 4a,2026-09-11
Juventus,Cabal,lesione del semimembranoso,seconda meta di settembre,2026-09-18
Lazio,Patric,problema fisico,da valutare,2026-09-11
Lazio,Marusic,lesione muscolare alla coscia,inizio ottobre,2026-10-05
Lazio,Cataldi,ernia bilaterale,meta settembre,2026-09-15
Lazio,Rovella,lesione muscolare al polpaccio,prima meta di ottobre,2026-10-10
Lazio,Dele-Bashiru,guaio muscolare alla gamba,meta settembre,2026-09-15
Lazio,Pellegrini Lu.,noie fisiche,da valutare,2026-09-11
Lecce,Geubbels,distorsione alla caviglia,da valutare,2026-09-11
Milan,Gabbia,fastidio alla caviglia,da valutare,2026-09-11
Monza,Ciurria,noie fisiche,da valutare,2026-09-11
Monza,Pessina,lussazione della rotula del ginocchio destro,inizio novembre,2026-11-02
Monza,Varela G.,fastidio muscolare all adduttore,inizio ottobre,2026-10-05
Napoli,Giovane,"ernia inguinale, operato il 3 settembre",inizio ottobre,2026-10-05
Napoli,Marianucci,lesione di alto grado del collaterale mediale,ottobre,2026-10-10
Napoli,Buongiorno,operato al menisco del ginocchio destro,meta novembre,2026-11-15
Napoli,McTominay,ablazione per aritmia benigna,meta ottobre,2026-10-15
Parma,Nicolussi Caviglia,"lesione alla coscia destra, operato",novembre,2026-11-10
Parma,Bernabe,problema fisico,da valutare per la 4a,2026-09-11
Parma,Diallo O.,noie fisiche,da valutare per la 4a,2026-09-11
Sassuolo,Walukiewicz,trauma contusivo alla gamba destra,meta settembre,2026-09-15
Sassuolo,Cande,rottura del legamento crociato anteriore,meta settembre,2026-09-15
Sassuolo,Pieragnolo,lesione del legamento crociato anteriore,ottobre,2026-10-10
Sassuolo,Boloca,problema al ginocchio,fine settembre,2026-09-28
Sassuolo,Kone I.,rottura di tibia e perone,dicembre,2026-12-05
Torino,Casadei,affaticamento muscolare,dalla 4a giornata,2026-09-11
Udinese,Palma,problema muscolare all adduttore,meta settembre,2026-09-15
Udinese,Zanoli,legamento crociato anteriore del ginocchio destro,ottobre,2026-10-10
Udinese,Arizala,lesione al bicipite femorale,da valutare,2026-09-11
Udinese,Chakvetadze,frattura del terzo metatarso,prima meta di settembre,2026-09-11
Udinese,Zaniolo,lesione al bicipite femorale della coscia destra,seconda meta di settembre,2026-09-18
Venezia,Sverko,"problema all anca, operato",fine ottobre,2026-10-27
Venezia,Franjic,guaio alla spalla,da valutare,2026-09-11
Venezia,Adorante,operato alla schiena,ottobre,2026-10-10
