fonte,squadra,ordine,giocatore
goal.com,Atalanta,1,Kessie
goal.com,Atalanta,2,Scamacca
goal.com,Atalanta,3,De Ketelaere
goal.com,Bologna,1,Orsolini
goal.com,Bologna,2,Dovbyk
goal.com,Bologna,3,Bernardeschi
goal.com,Cagliari,1,Nzola
goal.com,Cagliari,2,Fazzini
goal.com,Como,1,Da Cunha
goal.com,Como,2,Paz
goal.com,Como,3,Douvikas
goal.com,Fiorentina,1,Mastantuono
goal.com,Fiorentina,2,Pedro Goncalves
goal.com,Fiorentina,3,Pellegrino
goal.com,Frosinone,1,Calo
goal.com,Frosinone,2,Raimondo
goal.com,Genoa,1,Colombo
goal.com,Genoa,2,Messias
goal.com,Genoa,3,Vitinha
goal.com,Inter,1,Calhanoglu
goal.com,Inter,2,Martinez L.
goal.com,Inter,3,Zielinski
goal.com,Juventus,1,Yildiz
goal.com,Juventus,2,Locatelli
goal.com,Juventus,3,Kolo Muani
goal.com,Lazio,1,Zaccagni
goal.com,Lazio,2,Gudmundsson
goal.com,Lazio,3,Pinamonti
goal.com,Lecce,1,Geubbels
goal.com,Lecce,2,Stulic
goal.com,Milan,1,Ramos
goal.com,Milan,2,Pulisic
goal.com,Monza,1,Pessina
goal.com,Monza,2,Cutrone
goal.com,Monza,3,Varela
goal.com,Napoli,1,De Bruyne
goal.com,Napoli,2,Hojlund
goal.com,Parma,1,Toure
goal.com,Parma,2,Bernabe
goal.com,Roma,1,Malen
goal.com,Roma,2,Dybala
goal.com,Roma,3,Soule
goal.com,Sassuolo,1,Berardi
goal.com,Sassuolo,2,Esposito
goal.com,Torino,1,Vlasic
goal.com,Torino,2,Zapata
goal.com,Torino,3,Simeone
goal.com,Udinese,1,Davis
goal.com,Udinese,2,Solet
goal.com,Udinese,3,Zaniolo
goal.com,Venezia,1,Busio
goal.com,Venezia,2,Adams
fantamaster-rigori,Atalanta,1,Kessie
fantamaster-rigori,Atalanta,2,Scamacca
fantamaster-rigori,Atalanta,3,Samardzic
fantamaster-rigori,Bologna,1,Orsolini
fantamaster-rigori,Bologna,2,Bernardeschi
fantamaster-rigori,Bologna,3,Dovbyk
fantamaster-rigori,Cagliari,1,Nzola
fantamaster-rigori,Cagliari,2,Mina
fantamaster-rigori,Cagliari,3,Maldini
fantamaster-rigori,Como,1,Da Cunha
fantamaster-rigori,Como,2,Kean
fantamaster-rigori,Como,3,Douvikas
fantamaster-rigori,Fiorentina,1,Goncalves
fantamaster-rigori,Fiorentina,2,Mastantuono
fantamaster-rigori,Fiorentina,3,Pellegrino
fantamaster-rigori,Frosinone,1,Calo
fantamaster-rigori,Frosinone,2,Schmid
fantamaster-rigori,Frosinone,3,Raimondo
fantamaster-rigori,Genoa,1,Colombo
fantamaster-rigori,Genoa,2,Vitinha
fantamaster-rigori,Genoa,3,Messias
fantamaster-rigori,Inter,1,Calhanoglu
fantamaster-rigori,Inter,2,Zielinski
fantamaster-rigori,Inter,3,Martinez L.
fantamaster-rigori,Juventus,1,Kolo Muani
fantamaster-rigori,Juventus,2,Woltemade
fantamaster-rigori,Juventus,3,Locatelli
fantamaster-rigori,Lazio,1,Zaccagni
fantamaster-rigori,Lazio,2,Taylor
fantamaster-rigori,Lazio,3,Gudmundsson
fantamaster-rigori,Lecce,1,Geubbels
fantamaster-rigori,Lecce,2,Stulic
fantamaster-rigori,Lecce,3,Pierotti
fantamaster-rigori,Milan,1,Ramos
fantamaster-rigori,Milan,2,Pulisic
fantamaster-rigori,Milan,3,Modric
fantamaster-rigori,Monza,1,Pessina
fantamaster-rigori,Monza,2,Cutrone
fantamaster-rigori,Monza,3,Varela
fantamaster-rigori,Napoli,1,De Bruyne
fantamaster-rigori,Napoli,2,Hojlund
fantamaster-rigori,Napoli,3,Politano
fantamaster-rigori,Parma,1,Bernabe
fantamaster-rigori,Parma,2,Toure
fantamaster-rigori,Parma,3,Elphege
fantamaster-rigori,Roma,1,Malen
fantamaster-rigori,Roma,2,Dybala
fantamaster-rigori,Roma,3,Soule
fantamaster-rigori,Sassuolo,1,Berardi
fantamaster-rigori,Sassuolo,2,Esposito
fantamaster-rigori,Sassuolo,3,Lauriente
fantamaster-rigori,Torino,1,Vlasic
fantamaster-rigori,Torino,2,Mandragora
fantamaster-rigori,Torino,3,Simeone
fantamaster-rigori,Udinese,1,Davis
fantamaster-rigori,Udinese,2,Solet
fantamaster-rigori,Udinese,3,Zaniolo
fantamaster-rigori,Venezia,1,Busio
fantamaster-rigori,Venezia,2,Adams
fantamaster-rigori,Venezia,3,Adorante
