id,titolarita,accordo,presenze_web,fonti,ballottaggio_con,ballottaggio_pct,rigorista,stato,rientro_stimato,partite_saltate,fuori_lista
3,0.014,0.971,2.8,1,,,,,,,0
4,0.02,0.96,2.9,1,,,,,,,0
22,0.22,0.56,18.0,1,,,,,,,0
133,1.0,1.0,34.1,4,,,,,,,0
152,0.6,0.2,24.0,2,5172|7070,42|,2,,,,0
158,0.004,0.992,2.4,1,,,,,,,0
184,0.8,0.6,27.2,3,,,2,,,,0
218,0.0,1.0,0.0,0,,,,,,,1
219,0.004,0.992,2.4,1,,,,,,,0
252,0.08,0.84,14.8,1,,,,,,,0
254,1.0,1.0,30.4,4,,,,,,,0
256,0.6,0.2,23.6,3,,,,,,,0
294,0.071,0.857,14.6,1,,,,,,,0
309,1.0,1.0,30.1,4,,,2,,,,0
313,0.0,1.0,0.0,0,,,,,,,1
327,0.0,1.0,13.4,0,,,,,,,0
333,0.0,1.0,14.1,0,,,,ernia bilaterale,2026-09-15,1,0
383,0.0,1.0,0.0,0,,,,,,,1
418,0.08,0.84,14.8,1,,,,,,,0
460,0.0,1.0,0.0,0,,,,,,,1
487,0.08,0.84,14.8,1,,,,,,,0
526,0.0,1.0,14.5,0,,,,,,,0
530,0.0,1.0,14.5,0,,,,,,,0
531,0.82,0.64,27.1,4,,,1,,,,0
536,1.0,1.0,30.4,4,6831,67,3,,,,0
543,0.003,0.994,2.4,1,,,,,,,0
554,0.64,0.28,24.3,3,4887,,,,,,0
572,1.0,1.0,34.1,4,,,,fastidio muscolare alla coscia sinistra,2026-09-11,0,0
608,0.22,0.56,16.9,1,,,2,,,,0
610,0.02,0.96,2.9,1,,,,,,,0
632,0.971,0.943,29.9,5,,,1,,,,0
779,1.0,1.0,30.4,4,,,,,,,0
787,0.0,1.0,0.0,0,,,,,,,1
791,0.4,0.2,20.2,1,,,,,,,0
795,0.32,0.36,19.6,2,6164,,,,,,0
801,0.157,0.686,17.0,1,,,,,,,0
827,1.0,1.0,18.4,5,,,2,rottura del menisco esterno del ginocchio,2027-01-06,15,0
1850,0.76,0.52,26.6,4,5119|2077,73|,1,,,,0
1852,1.0,1.0,30.4,4,,,,,,,0
1870,1.0,1.0,30.4,4,,,,,,,0
1871,0.543,0.086,23.1,2,,,,,,,0
1926,0.004,0.992,2.4,1,,,,,,,0
1930,0.003,0.994,2.4,1,,,,,,,0
1933,1.0,1.0,30.4,4,7624,,2,,,,0
2012,0.0,0.829,0.0,1,,,,,,,1
2038,0.971,0.943,29.6,5,6398,85,3,,,,0
2061,0.84,0.68,27.4,4,,,3,,,,0
2077,0.24,0.52,18.3,1,1850,,,,,,0
2097,0.64,0.28,24.0,3,7017,62,2,,,,0
2115,0.0,1.0,0.0,0,,,,,,,1
2120,1.0,1.0,30.4,4,,,,,,,0
2127,0.004,0.992,2.4,1,,,,,,,0
2134,0.971,0.943,33.2,5,,,,,,,0
2137,1.0,1.0,30.1,4,6435,,2,,,,0
2155,0.4,0.2,20.0,2,6145,,2,,,,0
2167,0.6,0.2,22.8,3,,,1,risentimento ai flessori della coscia sinistra,2026-09-28,2,0
2169,0.2,0.6,16.8,1,,,,,,,0
2170,0.02,0.96,2.9,1,,,,,,,0
2188,0.429,0.143,19.6,3,,,,lesione muscolare alla coscia,2026-10-05,2,0
2194,0.84,0.68,27.9,4,,,1,,,,0
2263,0.114,0.771,15.3,1,7131,,,,,,0
2296,1.0,1.0,30.4,4,,,,,,,0
2297,0.0,1.0,2.3,0,,,,,,,0
2379,1.0,1.0,30.4,5,4199|4892,|,,,,,0
2401,0.0,1.0,0.0,0,,,,,,,1
2423,0.571,0.143,23.6,4,4892,92,2,,,,0
2514,0.62,0.24,23.9,3,4159|6217,69|,,,,,0
2517,0.44,0.12,21.5,2,4220,58,1,,,,0
2521,1.0,1.0,34.1,4,,,,,,,0
2528,1.0,1.0,30.4,4,,,,,,,0
2529,0.16,0.68,17.0,1,,,,,,,0
2531,0.0,1.0,0.0,0,,,,,,,1
2593,0.0,1.0,0.0,0,,,,,,,1
2606,1.0,1.0,30.4,5,7203,,3,,,,0
2640,0.4,0.2,20.2,1,7219,10,,,,,0
2724,0.0,1.0,10.6,0,,,,operato al menisco del ginocchio destro,2026-11-15,8,0
2728,0.057,0.886,14.4,1,,,,,,,0
2741,0.4,0.2,17.0,2,,,1,lussazione della rotula del ginocchio destro,2026-11-02,7,0
2764,1.0,1.0,30.1,4,,,2,,,,0
2765,0.6,0.2,24.0,2,,,,,,,0
2766,0.429,0.143,20.2,3,,,3,lesione al bicipite femorale della coscia destra,2026-09-28,2,0
2788,1.0,1.0,30.4,5,,,,,,,0
2809,0.004,0.992,2.4,1,,,,,,,0
2814,0.02,0.96,2.9,1,,,,,,,0
2815,0.014,0.971,2.8,1,,,,,,,0
2816,1.0,1.0,30.4,4,,,,,,,0
2832,0.6,0.2,23.3,3,7436,,,sospetto stiramento del flessore della coscia,2026-09-11,0,0
2845,0.004,0.992,2.4,1,,,,,,,0
2848,0.971,0.943,29.9,5,,,,,,,0
2857,0.14,0.72,16.7,1,5823,,,,,,0
2874,0.004,0.992,2.4,1,,,,,,,0
4137,1.0,1.0,30.4,4,,,,,,,0
4147,0.14,0.72,15.8,1,,,,,,,0
4159,1.0,1.0,30.4,4,2514,96,,,,,0
4177,0.22,0.56,17.1,1,,,,,,,0
4179,0.571,0.143,23.6,2,,,,,,,0
4199,0.171,0.657,17.2,1,2379,,,,,,0
4210,0.429,0.143,20.7,3,,,2,,,,0
4220,0.8,0.6,27.2,3,2517,65,,,,,0
4236,1.0,1.0,34.1,4,,,,,,,0
4260,0.971,0.943,29.9,5,,,,,,,0
4263,0.943,0.886,29.4,5,6925,95,,,,,0
4287,1.0,1.0,30.4,4,,,,,,,0
4312,1.0,1.0,34.1,5,,,,,,,0
4317,1.0,1.0,30.4,4,,,,,,,0
4349,0.0,1.0,11.4,0,,,,"lesione alla coscia destra, operato",2026-11-10,8,0
4359,0.6,0.2,23.3,2,6675,,,,,,0
4360,0.971,0.943,33.2,5,,,,,,,0
4364,1.0,1.0,30.4,4,,,,,,,0
4371,0.44,0.12,20.6,2,6844,40,,,,,0
4374,0.2,0.6,16.4,1,,,,trauma contusivo alla gamba destra,2026-09-18,1,0
4375,0.36,0.28,19.5,2,,,,,,,0
4378,0.16,0.68,16.1,1,,,,,,,0
4387,0.0,1.0,12.5,0,,,3,operato alla schiena,2026-10-10,2,0
4401,0.286,0.429,18.3,2,,,,fastidio alla caviglia,2026-09-11,0,0
4409,1.0,1.0,30.4,4,,,,,,,0
4431,1.0,1.0,34.1,4,,,,,,,0
4433,0.82,0.64,27.3,4,5678,62,,,,,0
4436,1.0,1.0,30.4,4,,,,,,,0
4459,0.429,0.143,20.2,3,,,,lesione muscolare al polpaccio,2026-10-10,2,0
4461,0.0,1.0,0.0,0,,,,,,,1
4463,0.44,0.12,20.6,2,7347,,2,,,,0
4465,0.6,0.2,24.0,2,7464,38,,,,,0
4468,0.003,0.994,2.4,1,,,,,,,0
4479,0.4,0.2,20.9,1,,,,,,,0
4485,0.4,0.2,15.0,1,7301,42,,,,,0
4502,0.943,0.886,29.4,5,7182,,,,,,0
4510,0.0,1.0,0.0,0,,,,,,,1
4518,0.0,1.0,2.3,0,,,,,,,0
4657,1.0,1.0,30.4,5,,,,,,,0
4664,0.72,0.44,25.6,4,6202,68,,,,,0
4686,0.0,1.0,0.0,0,,,,,,,1
4705,0.1,0.8,15.1,1,,,,,,,0
4728,0.0,1.0,0.0,0,,,,,,,1
4734,0.82,0.64,27.3,4,,,,,,,0
4751,0.071,0.857,14.6,1,,,,,,,0
4772,0.0,1.0,0.0,0,,,,,,,1
4777,0.6,0.2,22.1,3,,,,ablazione per aritmia benigna,2026-10-15,3,0
4807,1.0,1.0,30.4,4,7529,,,,,,0
4817,0.314,0.371,18.7,2,5620,,,,,,0
4845,0.42,0.16,20.5,2,6821|5695,72|,,,,,0
4856,0.886,0.771,28.6,5,,,,,,,0
4867,0.02,0.96,2.9,1,,,,,,,0
4870,0.971,0.943,29.9,5,,,,,,,0
4871,0.84,0.68,27.4,4,7071,,,,,,0
4887,0.6,0.2,23.6,2,554,,,,,,0
4892,0.286,0.429,19.0,1,6618|2423|2379,|38|,,,,,0
4896,0.971,0.943,29.6,5,,,3,,,,0
4911,0.857,0.714,28.1,4,5680,,,,,,0
4923,1.0,1.0,30.1,4,,,1,,,,0
4925,1.0,1.0,30.4,4,,,,,,,0
4929,0.0,1.0,0.0,0,,,,,,,1
4947,0.4,0.2,20.9,1,,,,,,,0
4952,0.76,0.52,26.3,4,,,,,,,0
4957,0.02,0.96,2.9,1,,,,,,,0
4964,1.0,1.0,34.1,5,,,,,,,0
4970,0.24,0.52,18.3,1,,,2,,,,0
4973,0.286,0.429,19.0,2,,,,,,,0
4976,1.0,1.0,30.4,5,,,,,,,0
4994,0.971,0.943,29.9,5,,,,,,,0
4998,0.82,0.64,27.3,4,7599,,,,,,0
5007,0.886,0.771,28.6,5,7322,60,,,,,0
5010,0.16,0.68,16.1,1,,,,,,,0
5022,1.0,1.0,30.4,5,,,,,,,0
5029,0.286,0.429,18.0,2,7252,,1,distorsione alla caviglia,2026-09-11,0,0
5036,0.12,0.76,16.4,1,,,,,,,0
5116,1.0,1.0,34.1,4,,,,,,,0
5119,0.4,0.2,20.9,1,1850,29,3,,,,0
5131,0.14,0.72,16.7,1,,,,,,,0
5172,0.64,0.28,24.7,3,152,56,,,,,0
5273,0.429,0.143,20.7,2,6496,,,,,,0
5295,0.714,0.429,25.9,3,,,,,,,0
5298,0.6,0.2,24.0,2,7528,,,,,,0
5301,0.12,0.76,16.4,1,,,,,,,0
5307,0.2,0.6,16.8,1,,,,,,,0
5319,1.0,1.0,30.4,4,6994,56,,,,,0
5320,0.0,1.0,0.0,0,,,,,,,1
5336,0.0,1.0,13.2,0,7547,17,1,,,,0
5365,1.0,1.0,30.4,4,,,,,,,0
5399,0.08,0.84,14.8,1,,,,,,,0
5422,0.36,0.28,20.2,2,,,,,,,0
5424,0.08,0.84,14.8,1,,,,,,,0
5427,0.0,1.0,0.0,0,,,,,,,1
5436,0.8,0.6,26.7,3,,,2,,,,0
