file,id,colonna,motivo,fonte_tentata
giocatori.csv,,nome_completo,Stankovic A.: la voce statistica e gia di Stankovic F.,understat
giocatori.csv,,nome_completo,Rrahmani Al.: la voce statistica e gia di Rrahmani,understat
giocatori.csv,,nome_completo,Oyono J.: la voce statistica e gia di Oyono A.,understat
giocatori.csv,,nome_completo,Gelli J.: la voce statistica e gia di Gelli F.,understat
giocatori.csv,,nome_completo,Colombo: la voce statistica e gia di Colombo L.,understat
giocatori.csv,,nome_completo,El Azzouzi A.: la voce statistica e gia di El Azzouzi O.,understat
giocatori.csv,,nome_completo,Adams A.: la voce statistica e gia di Adams C.,understat
squadre.csv,,gf_prec/gs_prec,neopromossa Frosinone: nessun dato di Serie A,
squadre.csv,,gf_prec/gs_prec,neopromossa Monza: nessun dato di Serie A,
squadre.csv,,gf_prec/gs_prec,neopromossa Venezia: nessun dato di Serie A,
squadre.csv,,allenatore,nessuna fonte strutturata disponibile,
giocatori.csv,4964,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4964,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6534,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6534,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6344,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7411,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7411,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6248,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6415,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6415,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4485,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4485,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7463,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7463,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,2874,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,2874,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7626,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7626,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7533,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7533,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7301,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,2809,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7466,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7466,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6569,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6569,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7534,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7534,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,2815,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6813,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7475,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7475,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7048,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7048,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4518,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7457,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7457,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7363,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,5707,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,5707,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6671,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6671,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7531,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7531,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,2127,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7557,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7557,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7560,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7560,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4468,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4468,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7603,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7603,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7611,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7611,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4998,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4998,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,2514,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,2514,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5982,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5641,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,5641,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6320,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6320,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7529,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7529,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6727,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,6727,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5675,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,5675,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5365,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7469,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7469,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7485,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7485,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4664,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4664,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7580,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7580,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7621,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7621,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7414,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7414,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7410,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7410,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4952,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,6238,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4817,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4817,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7564,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7564,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4705,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4705,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4147,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4147,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5751,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,5751,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7532,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7532,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7294,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7294,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,7467,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,7467,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,4845,nome_completo,non abbinato alla fonte statistica,understat
giocatori.csv,4845,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5695,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
giocatori.csv,5757,nuovo_acquisto,nessuna squadra nota per la stagione 2025-26,
