id,nome,prezzo_medio_per_1000,mediana_per_1000,p25,p75,n_campioni,partecipanti,fonte
3,RADUNOVIC,1.8,,,,,,tabella_prezzi_medi_asta_seed
4,SPORTIELLO,1.8,,,,,,tabella_prezzi_medi_asta_seed
22,DE ROON,3,,,,,,tabella_prezzi_medi_asta_seed
133,SKORUPSKI,23.2,,,,,,tabella_prezzi_medi_asta_seed
152,ZIELINSKI,53.5,,,,,,tabella_prezzi_medi_asta_seed
158,LEZZERINI,1.8,,,,,,tabella_prezzi_medi_asta_seed
184,BERNARDESCHI,21.9,,,,,,tabella_prezzi_medi_asta_seed
219,SOMMARIVA,1.8,,,,,,tabella_prezzi_medi_asta_seed
252,BIRAGHI,1.9,,,,,,tabella_prezzi_medi_asta_seed
254,DIMARCO,134.3,,,,,,tabella_prezzi_medi_asta_seed
256,JUAN JESUS,2.2,,,,,,tabella_prezzi_medi_asta_seed
294,RUGANI,2,,,,,,tabella_prezzi_medi_asta_seed
309,DYBALA,138,,,,,,tabella_prezzi_medi_asta_seed
327,PATRIC,1.7,,,,,,tabella_prezzi_medi_asta_seed
333,CATALDI,2.1,,,,,,tabella_prezzi_medi_asta_seed
418,GOLDANIGA,1.8,,,,,,tabella_prezzi_medi_asta_seed
460,ROMAGNOLI,3.3,,,,,,tabella_prezzi_medi_asta_seed
487,DE SILVESTRI,1.6,,,,,,tabella_prezzi_medi_asta_seed
526,DUNCAN,2.3,,,,,,tabella_prezzi_medi_asta_seed
530,PELLEGRINI LO.,3.6,,,,,,tabella_prezzi_medi_asta_seed
531,BERARDI,100.4,,,,,,tabella_prezzi_medi_asta_seed
536,POLITANO,30.200000000000003,,,,,,tabella_prezzi_medi_asta_seed
543,PADELLI,1.8,,,,,,tabella_prezzi_medi_asta_seed
554,ZAPPACOSTA,19,,,,,,tabella_prezzi_medi_asta_seed
572,MERET,78.60000000000001,,,,,,tabella_prezzi_medi_asta_seed
608,ZAPATA D.,3.4,,,,,,tabella_prezzi_medi_asta_seed
610,GOLLINI,1.8,,,,,,tabella_prezzi_medi_asta_seed
632,ZACCAGNI,82.3,,,,,,tabella_prezzi_medi_asta_seed
779,CRISTANTE,6.7,,,,,,tabella_prezzi_medi_asta_seed
791,SABELLI,2.1,,,,,,tabella_prezzi_medi_asta_seed
801,GAGLIARDINI,1,,,,,,tabella_prezzi_medi_asta_seed
827,LOCATELLI,8.1,,,,,,tabella_prezzi_medi_asta_seed
1850,KESSIÈ,33.6,,,,,,tabella_prezzi_medi_asta_seed
1852,SPINAZZOLA,22.8,,,,,,tabella_prezzi_medi_asta_seed
1870,BARELLA,61.400000000000006,,,,,,tabella_prezzi_medi_asta_seed
1871,DEIOLA,2.2,,,,,,tabella_prezzi_medi_asta_seed
1926,DI GENNARO,1.8,,,,,,tabella_prezzi_medi_asta_seed
1930,PINSOGLIO,1.8,,,,,,tabella_prezzi_medi_asta_seed
1933,MANDRAGORA,5.8,,,,,,tabella_prezzi_medi_asta_seed
2012,MILIK,2.3,,,,,,tabella_prezzi_medi_asta_seed
2038,PINAMONTI,104.2,,,,,,tabella_prezzi_medi_asta_seed
2061,SIMEONE,113.4,,,,,,tabella_prezzi_medi_asta_seed
2077,PASALIC,6.2,,,,,,tabella_prezzi_medi_asta_seed
2097,KEAN,200,,,,,,tabella_prezzi_medi_asta_seed
2120,BASTONI,53.3,,,,,,tabella_prezzi_medi_asta_seed
2127,SATALINO,1.7,,,,,,tabella_prezzi_medi_asta_seed
2134,FALCONE,15.4,,,,,,tabella_prezzi_medi_asta_seed
2137,SCAMACCA,146.7,,,,,,tabella_prezzi_medi_asta_seed
2155,CUTRONE,8.8,,,,,,tabella_prezzi_medi_asta_seed
2167,ORSOLINI,122.6,,,,,,tabella_prezzi_medi_asta_seed
2170,MILINKOVIC-SAVIC V.,11.4,,,,,,tabella_prezzi_medi_asta_seed
2188,MARUSIC,3.3,,,,,,tabella_prezzi_medi_asta_seed
2194,CALHANOGLU,147.79999999999998,,,,,,tabella_prezzi_medi_asta_seed
2263,LAZZARI,2.1,,,,,,tabella_prezzi_medi_asta_seed
2296,MANCINI,47.300000000000004,,,,,,tabella_prezzi_medi_asta_seed
2379,RABIOT,88.4,,,,,,tabella_prezzi_medi_asta_seed
2423,PULISIC,118.6,,,,,,tabella_prezzi_medi_asta_seed
2514,STONES,26.5,,,,,,tabella_prezzi_medi_asta_seed
2517,DE BRUYNE,80.60000000000001,,,,,,tabella_prezzi_medi_asta_seed
2521,DE GEA,42.1,,,,,,tabella_prezzi_medi_asta_seed
2528,MATIC,2.6,,,,,,tabella_prezzi_medi_asta_seed
2529,MKHITARYAN,2.8,,,,,,tabella_prezzi_medi_asta_seed
2606,MODRIC,24.8,,,,,,tabella_prezzi_medi_asta_seed
2640,KOLASINAC,2.6,,,,,,tabella_prezzi_medi_asta_seed
2724,BUONGIORNO,4.4,,,,,,tabella_prezzi_medi_asta_seed
2728,PELLEGRINI LU.,2,,,,,,tabella_prezzi_medi_asta_seed
2741,PESSINA,3,,,,,,tabella_prezzi_medi_asta_seed
2764,MARTINEZ L.,374,,,,,,tabella_prezzi_medi_asta_seed
2765,ODGAARD,5.3,,,,,,tabella_prezzi_medi_asta_seed
2766,ZANIOLO,59.1,,,,,,tabella_prezzi_medi_asta_seed
2788,BREMER,62.4,,,,,,tabella_prezzi_medi_asta_seed
2809,VIGORITO,1.8,,,,,,tabella_prezzi_medi_asta_seed
2814,PROVEDEL,11.299999999999999,,,,,,tabella_prezzi_medi_asta_seed
2815,TERRACCIANO,1.8,,,,,,tabella_prezzi_medi_asta_seed
2816,DI LORENZO,42.7,,,,,,tabella_prezzi_medi_asta_seed
2832,BOGA,17,,,,,,tabella_prezzi_medi_asta_seed
2845,CONTINI,1.8,,,,,,tabella_prezzi_medi_asta_seed
2848,FRATTESI,60.3,,,,,,tabella_prezzi_medi_asta_seed
2857,TRAORÈ HJ.,2.5,,,,,,tabella_prezzi_medi_asta_seed
2874,GHIDOTTI,1.7,,,,,,tabella_prezzi_medi_asta_seed
4137,DIEGO CARLOS,4.7,,,,,,tabella_prezzi_medi_asta_seed
4147,CALETA-CAR,1.9,,,,,,tabella_prezzi_medi_asta_seed
4159,AKANJI,49.6,,,,,,tabella_prezzi_medi_asta_seed
4177,PAVARD,3.9,,,,,,tabella_prezzi_medi_asta_seed
4179,GONZALEZ N.,22.8,,,,,,tabella_prezzi_medi_asta_seed
4199,LOFTUS-CHEEK,4.7,,,,,,tabella_prezzi_medi_asta_seed
4210,MINA,8.8,,,,,,tabella_prezzi_medi_asta_seed
4220,ZAMBO ANGUISSA,22.599999999999998,,,,,,tabella_prezzi_medi_asta_seed
4236,MURIC,7.6,,,,,,tabella_prezzi_medi_asta_seed
4260,WINKS,2.1,,,,,,tabella_prezzi_medi_asta_seed
4263,KABASELE,3.2,,,,,,tabella_prezzi_medi_asta_seed
4287,LOBOTKA,5.8999999999999995,,,,,,tabella_prezzi_medi_asta_seed
4312,MAIGNAN,89.2,,,,,,tabella_prezzi_medi_asta_seed
4317,N'DICKA,33.8,,,,,,tabella_prezzi_medi_asta_seed
