id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
3,2024-25,Cagliari,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-26,Cagliari,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024-25,Milan,P,124,2,6,5,0,2,0,0,0,0,0,0,0,0
4,2025-26,Atalanta,P,90,1,5.5,4.5,0,1,0,0,0,0,0,0,0,0
22,2024-25,Atalanta,C,3060,36,6.15,6.53,4,0,0,0,0,0,4,5,0,0
22,2025-26,Atalanta,C,2720,34,5.97,6,1,0,0,0,0,0,2,6,1,0
133,2024-25,Bologna,P,2364,27,6.17,5.04,0,33,1,0,0,0,0,1,0,0
133,2025-26,Bologna,P,1594,18,6.19,5.28,0,15,0,0,0,0,0,1,1,0
152,2024-25,Inter,C,947,20,5.98,6.32,2,0,0,2,2,0,1,0,0,0
152,2025-26,Inter,C,2048,30,6.25,6.8,6,0,0,1,1,0,2,3,0,1
158,2025-26,Fiorentina,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2025-26,Bologna,C,1198,24,6.04,6.56,4,0,0,1,1,0,2,3,0,0
218,2024-25,Juventus,P,450,5,6.1,5.5,0,3,0,0,0,0,0,0,0,0
218,2025-26,Juventus,P,766,9,6.11,5.11,0,9,0,0,0,0,0,0,0,0
219,2024-25,Genoa,P,26,1,7,6,0,1,0,0,0,0,0,0,0,0
219,2025-26,Genoa,P,176,2,5.75,3.75,0,4,0,0,0,0,0,0,0,0
252,2024-25,Torino,D,1585,21,5.83,5.86,1,0,0,0,0,0,0,1,0,1
252,2025-26,Torino,D,497,11,5.59,5.59,0,0,0,0,0,0,0,0,0,0
254,2024-25,Inter,D,2214,32,6.31,6.86,4,0,0,0,0,0,7,3,0,0
254,2025-26,Inter,D,2709,35,6.6,7.64,7,0,0,0,0,0,17,3,0,0
256,2024-25,Napoli,D,1076,13,5.81,5.81,0,0,0,0,0,0,1,2,0,0
256,2025-26,Napoli,D,1670,21,5.86,5.62,0,0,0,0,0,0,0,8,1,0
294,2024-25,Juventus,D,,0,0,0,0,0,0,0,0,0,0,0,0,0
294,2025-26,Fiorentina,D,577,8,5.69,5.56,0,0,0,0,0,0,0,2,0,0
309,2024-25,Roma,A,1431,20,6.48,7.48,6,0,0,3,3,0,3,2,0,0
309,2025-26,Roma,A,1360,21,6.26,6.74,2,0,0,1,0,1,7,0,0,0
313,2024-25,Milan,A,1110,16,6.09,6.88,5,0,0,0,0,0,0,5,0,0
313,2025-26,Como,A,917,17,5.5,5.21,0,0,0,1,0,1,0,2,1,0
327,2024-25,Lazio,D,593,8,5.62,5.88,1,0,0,0,0,0,0,2,0,0
327,2025-26,Lazio,D,657,10,5.85,5.75,0,0,0,0,0,0,0,2,0,0
333,2024-25,Fiorentina,C,1762,24,6.04,6.4,3,0,0,0,0,0,0,1,0,0
333,2025-26,Lazio,C,2007,27,6.07,6.41,3,0,0,2,2,0,3,6,0,0
383,2024-25,Monza,A,319,7,5.36,5.29,0,0,0,0,0,0,0,1,0,0
383,2025-26,Monza,A,,7,5.36,5.29,0,0,0,0,0,0,0,1,0,0
418,2024-25,Como,D,2525,30,5.83,5.73,1,0,0,0,0,0,0,10,1,0
418,2025-26,Como,D,12,0,0,0,0,0,0,0,0,0,0,0,0,0
460,2024-25,Lazio,D,2676,32,5.84,5.91,2,0,0,0,0,0,0,4,2,0
460,2025-26,Lazio,D,2670,32,6.03,5.92,0,0,0,0,0,0,0,5,1,0
487,2024-25,Bologna,D,1074,16,5.91,6.06,1,0,0,0,0,0,0,1,0,0
487,2025-26,Bologna,D,499,10,6.05,5.95,0,0,0,0,0,0,0,2,0,0
526,2024-25,Venezia,C,965,14,5.86,5.79,0,0,0,0,0,0,0,2,0,0
530,2024-25,Roma,C,1648,25,5.68,5.88,2,0,0,1,1,0,1,4,0,0
530,2025-26,Roma,C,1508,24,6.04,6.58,4,0,0,2,2,0,2,2,0,0
531,2025-26,Sassuolo,A,1995,26,6.31,7.19,8,0,0,3,2,1,4,2,1,0
536,2024-25,Napoli,C,2881,37,6.11,6.42,3,0,0,0,0,0,4,3,0,0
536,2025-26,Napoli,C,2249,33,6.09,6.36,2,0,0,0,0,0,5,4,0,0
543,2024-25,Udinese,P,90,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
543,2025-26,Udinese,P,180,2,6.25,5.25,0,2,0,0,0,0,0,0,0,0
554,2024-25,Atalanta,D,2102,30,5.98,6.4,4,0,0,0,0,0,2,3,0,0
554,2025-26,Atalanta,D,2605,35,6.06,6.3,3,0,0,0,0,0,1,3,0,0
572,2024-25,Napoli,P,3005,34,6.32,5.71,0,25,2,0,0,0,0,0,0,1
572,2025-26,Napoli,P,982,11,6.23,5.18,0,12,0,0,0,0,1,1,0,0
608,2024-25,Torino,A,597,7,6.57,7.79,3,0,0,0,0,0,0,1,0,0
608,2025-26,Torino,A,1088,23,5.83,6.13,3,0,0,1,0,1,1,0,0,0
610,2024-25,Roma,P,630,7,5.86,4.07,0,15,1,0,0,0,0,1,0,0
610,2025-26,Roma,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
632,2024-25,Lazio,C,2750,34,6.28,7.01,8,0,0,2,2,0,6,10,0,0
632,2025-26,Lazio,C,2127,26,5.88,5.96,3,0,0,1,0,1,0,6,1,0
779,2024-25,Roma,C,2046,28,6.2,6.59,4,0,0,0,0,0,3,8,0,0
779,2025-26,Roma,C,3116,37,6.11,6.22,2,0,0,0,0,0,1,6,0,0
787,2024-25,Atalanta,D,,33,5.88,5.88,1,0,0,0,0,0,2,6,0,1
787,2025-26,Atalanta,D,,33,5.86,5.8,0,0,0,0,0,0,0,4,0,0
791,2024-25,Genoa,D,2072,30,5.87,5.9,0,0,0,0,0,0,2,3,0,0
