ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol
P,Svilar,Roma,19,81.51,0° TOP A,Titolare,Mod.,Lazio Napoli Juventus,0.8486256410256412,38,6.26,5.45,,,,31,26.175,23.75,,,
P,Carnesecchi,Atalanta,17,79.9,0° TOP A,Mod.,Titolare,Frosinone Bologna Cagliari,0.8360291497975709,37,6.36,5.58,,,,35,21.125,23.75,,,
P,Martinez Jo.,Inter,17,79.9,0° TOP B,Mod.,Imbattibilità,Milan Sassuolo Juventus,0.7548157894736843,5,6,5.2,,,,4,22.849999999999998,21.25,,,
P,Vicario,Juventus,17,79.9,0° TOP B,titolare,mod.,Torino Genoa Roma,,,,,,,,,23.025,21.25,,,
P,Butez,Como,15,78.3,1° Fascia A,Mod.,Titolare,Fiorentina Frosinone Genoa,0.8344610722610722,38,6.07,5.37,,,,29,19.75,17.5,,,
P,Maignan,Milan,15,78.3,1° Fascia A,Titolare,Mod.,Inter Parma Cagliari,0.8102575880260091,37,6.26,5.42,,,,35,22.3,17.5,,,
P,De Gea,Fiorentina,11,74.47,1° Fascia A,Titolare,Mod.,Cagliari Como Lazio,0.7659829959514172,37,6.24,5,,,,49,10.525,17.5,,,
P,Meret,Napoli,11,74.47,1° Fascia B,Mod.,,Roma Bologna Frosinone,0.7593672310145996,11,6.23,5.18,,,,12,19.650000000000002,15,,,
P,Skorupski,Bologna,10,73.3,2° Fascia A,mod.,pararigori,Atalanta Lecce Napoli,0.7377195926880138,18,6.19,5.28,,,,15,5.8,6.25,,,
P,Caprile,Cagliari,10,73.3,2° Fascia A,Mod.,Titolare,Atalanta Fiorentina Venezia,0.7454885780885782,38,6.29,4.87,,,,53,4.05,6.25,,,
P,Mandas,Lazio,10,73.3,2° Fascia B,Mod.,Titolare,Roma Genoa Torino,0. N.D.,0,0,0,,,,0,8.175,5,,,
P,Okoye,Udinese,9,72,2° Fascia B,Mod.,Infortuni,Genoa Lecce Milan,0.7320236412710097,30,6.07,5.08,,,,32,6.75,5,,,
P,Perri,Torino,9,72,2° Fascia C,Scommessa,,Juventus Lazio Lecce,,,,,,,,,1.2,3.75,,,
P,Sanchez Ro.,Como,8,70.48,2° Fascia C,,,Fiorentina Frosinone Genoa,,,,,,,,,1.45,3.75,,,
P,Bijlow,Genoa,8,70.48,3° Fascia,Titolare,,Juventus Bologna Como,0.740841994847258,16,6.06,4.78,,,,20,2.9,2.5,,,
P,Falcone,Lecce,8,70.48,3° Fascia,Titolare,Mod.,Parma Bologna Fiorentina,0.7699578088578088,38,6.41,5.22,,,,50,3.85,2.5,,,
P,Muric,Sassuolo,7,68.81,3° Fascia,Scommessa,,Inter Parma Bologna,0.731141798552325,32,6.08,4.77,,,,43,1.9,2.5,,,
P,Daffara,Parma,6,66.78,3° Fascia,,,Lecce Sassuolo Milan,,,,,,,,,0.625,2.5,,,
P,Stankovic F.,Venezia,6,66.78,3° Fascia,Titolare,Mod.,Cagliari Monza Bologna,,,,,,,,,1.05,2.5,,,
P,Palmisani,Frosinone,5,64.25,3° Fascia,Scommessa,,Atalanta Como Napoli,,,,,,,,,0.6,2.5,,,
P,Milinkovic-Savic V.,Napoli,5,64.25,3° Fascia,Imbattibilità,Mod.,Roma Bologna Frosinone,0.8197847503373821,27,6.2,5.65,,,,24,2.85,2.5,,,
P,Thiam,Monza,4,60.96,R,Scommessa,,Lecce Venezia Atalanta,,,,,,,,,0.575,1,,,
P,Desplanches,Frosinone,2,49.12,R,,,Atalanta Como Napoli,,,,,,,,,0.45,1,,,
P,Provedel,Inter,2,49.12,R,Mod.,Jolly,Milan Sassuolo Juventus,0.7971085265611582,27,6.26,5.35,,,,27,2.8249999999999997,1,,,
P,Corvi,Parma,2,49.12,R,Mod.,,Lecce Sassuolo Milan,0.7658436142804563,17,6.18,5.09,,,,18,1.1,1,,,
P,Ghidotti,Parma,1,35.69,R,,,Lecce Sassuolo Milan,,,,,,,,,0.425,1,,,
P,Sportiello,Atalanta,1,35.69,R,,,Frosinone Bologna Cagliari,0.709391363022942,1,5.5,4.5,,,,1,0.45,1,,,
P,Happonen,Bologna,1,35.69,R,,,Atalanta Lecce Napoli,,,,,,,,,0.45,1,,,
P,Pessina Mas.,Bologna,1,35.69,R,,,Atalanta Lecce Napoli,0.7726757085020244,4,6.12,5.62,,,,2,0.45,1,,,
P,Sherri,Cagliari,1,35.69,R,,,Atalanta Fiorentina Venezia,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Tornqvist,Monza,1,35.69,R,Scommessa,,Lecce Venezia Atalanta,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Vigorito,Como,1,35.69,R,,,Fiorentina Frosinone Genoa,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Christensen O.,Fiorentina,1,35.69,R,,,Cagliari Como Lazio,0.824263157894737,1,7.5,6.5,,,,1,0.45,1,,,
P,Lezzerini,Fiorentina,1,35.69,R,,,Cagliari Como Lazio,0. N.D.,0,0,0,,,,0,0.45,1,,,
P,Lolic,Frosinone,1,35.69,R,,,Atalanta Como Napoli,,,,,,,,,0.425,1,,,
P,Sommariva,Genoa,1,35.69,R,,,Juventus Bologna Como,0.6877442645074225,2,5.75,3.75,,,,4,0.45,1,,,
P,Stolz,Genoa,1,35.69,R,,,Juventus Bologna Como,,,,,,,,,0.45,1,,,
