id,ruolo,nome,squadra,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
460,D,Romagnoli,Lazio,32,5.84,5.91,2,0,0,0,0,0,0,4,2,0
5626,D,Guilbert,Lecce,31,5.79,5.71,0,0,0,0,0,0,1,3,2,0
5900,D,Toure' I.s.,Udinese,11,5.59,5.41,1,0,0,0,0,0,0,2,2,1
5298,C,Pobega,Bologna,20,6.05,6.25,2,0,0,0,0,0,2,4,2,0
4342,C,Duda,Verona,28,5.98,5.95,1,0,0,0,0,0,3,10,2,0
6191,C,Belahyane,Lazio,26,5.77,5.69,0,0,0,0,0,0,2,4,2,0
6641,P,Suzuki,Parma,37,6.22,4.76,0,53,0,0,0,0,0,0,1,0
387,P,Reina,Como,12,5.75,4.5,0,14,0,0,0,0,0,0,1,0
2120,D,Bastoni,Inter,32,6.42,6.55,1,0,0,0,0,0,4,4,1,0
4292,D,Hernandez T.,Milan,33,6.02,6.29,4,0,0,1,0,1,3,4,1,0
5620,D,Tavares N.,Lazio,23,6.28,6.5,0,0,0,0,0,0,7,2,1,0
6257,D,Dorgu,Lecce,21,5.83,6.12,3,0,0,0,0,0,1,2,1,1
4734,D,Miranda J.,Bologna,29,6.05,6.16,0,0,0,0,0,0,6,4,1,0
4210,D,Mina,Cagliari,31,6.06,6.06,1,0,0,0,0,0,0,4,1,0
4976,D,Kalulu,Juventus,28,6.02,6.05,1,0,0,0,0,0,0,2,1,0
5555,D,Kamara H.,Udinese,30,5.93,6.03,1,0,0,0,0,0,4,6,1,0
5022,D,Pavlovic,Milan,22,5.91,6.11,2,0,0,0,0,0,1,3,1,0
6956,D,Solet,Udinese,19,6.16,6.29,1,0,0,0,0,0,1,1,1,0
5307,D,Valenti,Parma,20,5.85,5.85,1,0,0,0,0,0,0,4,1,0
5847,D,Bijol,Udinese,34,5.99,5.88,1,0,0,0,0,0,2,11,1,1
6480,D,Tchatchoua,Verona,36,5.76,5.9,2,0,0,0,0,0,3,6,1,0
4665,D,Maripan,Torino,28,5.93,5.93,1,0,0,0,0,0,0,4,1,0
4751,D,Tomori,Milan,18,5.86,5.81,0,0,0,0,0,0,1,2,1,0
418,D,Goldaniga,Como,30,5.83,5.73,1,0,0,0,0,0,0,10,1,0
4904,D,Mari',Fiorentina,32,5.84,5.75,0,0,0,0,0,0,0,4,1,0
6887,D,Leoni,Parma,17,5.85,5.88,1,0,0,0,0,0,0,3,1,0
6893,D,Kempf,Como,31,5.85,5.76,0,0,0,0,0,0,0,4,1,0
6042,D,Lucumi',Bologna,32,5.83,5.7,0,0,0,0,0,0,1,8,1,0
6537,D,Goglichidze,Empoli,33,5.76,5.71,0,0,0,0,0,0,1,3,1,0
5603,D,Pongracic,Fiorentina,17,5.85,5.65,0,0,0,0,0,0,0,1,1,1
140,D,Hysaj,Lazio,8,5.88,6.12,0,0,0,0,0,0,3,0,1,0
4502,D,Gallo,Lecce,31,5.79,5.65,0,0,0,0,0,0,2,3,1,2
6230,D,Dossena,Como,23,5.8,5.85,0,0,0,0,0,0,2,0,1,0
