ruolo,nome,squadra,qt_a,and_med,and_gol,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
P,Svilar,Roma,19,1,-1,,38,6.26,5.45,0,0,0,0,0,,0,0,0,38,6.32,5.38,0,0,0,0,1,,1,0,0
P,Martinez Jo.,Inter,17,-1,-1,,5,6,5.2,0,0,0,0,0,,0,0,0,5,6.3,5.7,0,0,0,0,0,,0,0,0
P,Carnesecchi,Atalanta,17,1,-1,,37,6.36,5.58,0,0,0,0,0,,0,0,0,34,6.34,5.32,0,0,0,0,1,,1,0,0
P,Butez,Como,15,1,-1,,38,6.07,5.37,0,0,0,0,1,,3,0,0,18,6.22,5.22,0,0,0,0,0,,0,0,0
P,Maignan,Milan,15,1,-1,,37,6.26,5.42,0,0,0,0,0,,4,0,0,37,6.18,5.14,0,0,0,0,1,,1,0,0
P,De Gea,Fiorentina,11,-1,-1,,37,6.24,5,0,0,0,0,0,,0,0,0,35,6.34,5.41,0,0,0,0,1,,1,0,0
P,Meret,Napoli,11,-1,-1,,11,6.23,5.18,0,0,0,0,1,,1,0,0,34,6.32,5.71,0,0,0,0,0,,0,0,1
P,Skorupski,Bologna,10,1,-1,,18,6.19,5.28,0,0,0,0,0,,1,1,0,27,6.17,5.04,0,0,0,0,1,,1,0,0
P,Mandas,Lazio,10,,,,0,0,0,0,0,0,0,0,,0,0,0,9,6.28,5.5,0,0,0,0,0,,0,0,0
P,Caprile,Cagliari,10,-1,-1,,38,6.29,4.87,0,0,0,0,0,,2,0,0,22,6.2,5.16,0,0,0,0,0,,0,0,0
,Di Gregorio,,,1,-1,False,30,6.08,5.33,0,0,0,0,0,,1,0,0,33,6.15,5.18,0,0,0,0,0,,0,0,0
P,Okoye,Udinese,9,1,-1,,30,6.07,5.08,0,0,0,0,1,,1,1,0,25,6.1,4.4,0,0,0,0,1,,1,0,1
P,Bijlow,Genoa,8,1,1,,16,6.06,4.78,0,0,0,0,0,,1,0,0,,,,,,,,,,,,
P,Falcone,Lecce,8,1,-1,,38,6.41,5.22,0,0,0,0,0,,2,0,0,38,6.26,4.79,0,0,0,0,2,,2,0,0
P,Daffara,Parma,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suzuki,,,-1,-1,False,20,6.02,4.75,0,0,0,0,0,,1,0,0,37,6.22,4.76,0,0,0,0,0,,0,1,0
P,Muric,Sassuolo,7,1,1,,32,6.08,4.77,0,0,0,0,0,,4,0,0,,,,,,,,,,,,
P,Stankovic F.,Venezia,6,,,,,,,,,,,,,,,,15,6.6,5.23,0,0,0,0,1,,1,0,0
,Perin,,,-1,-1,False,9,6.11,5.11,0,0,0,0,0,,0,0,0,5,6.1,5.5,0,0,0,0,0,,0,0,0
P,Thiam,Monza,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Milinkovic-Savic V.,Napoli,5,1,-1,,27,6.2,5.65,0,0,0,0,0,,0,0,0,37,6.3,5.45,0,0,0,0,3,,3,0,0
P,Palmisani,Frosinone,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Desplanches,Frosinone,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Provedel,Inter,2,1,-1,,27,6.26,5.35,0,0,0,0,0,,1,0,0,29,5.98,4.53,0,0,0,0,0,,0,0,0
P,Happonen,Bologna,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Lolic,Frosinone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Stolz,Genoa,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0
P,Renzetti,Lazio,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pizzignacco,,,,,0. N.D,,,,,,,,,,,,,9,6.06,3.94,0,0,0,0,0,,0,0,1
P,Strajnar,Monza,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,De Marzi,Roma,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0
P,Russo A.,Sassuolo,1,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P,Mascardi,Torino,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,Siviero,Torino,1,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P,Piana,Udinese,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0
P,Grandi,Venezia,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0
P,Pozzi,Venezia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rossi F.,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Sportiello,Atalanta,1,-1,-1,,1,5.5,4.5,0,0,0,0,0,,0,0,0,2,6,5,0,0,0,0,0,,0,0,0
P,Pessina Mas.,Bologna,1,1,1,,4,6.12,5.62,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
,Ciocci,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Sherri,Cagliari,1,,,,0,0,0,0,0,0,0,0,,0,0,0,7,5.86,4.29,0,0,0,0,0,,0,0,0
P,Tornqvist,Monza,1,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P,Vigorito,Como,1,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Christensen O.,Fiorentina,1,1,-1,,1,7.5,6.5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Lezzerini,Fiorentina,1,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P,Sommariva,Genoa,1,-1,-1,,2,5.75,3.75,0,0,0,0,0,,0,0,0,1,7,6,0,0,0,0,0,,0,0,0
P,Di Gennaro,Inter,1,1,-1,,1,6,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Pinsoglio,Juventus,1,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Motta,Lazio,1,1,1,,9,6,5.17,0,0,0,0,0,,1,0,0,,,,,,,,,,,,
,Fruchtl,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
,Samooja,,,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Terracciano,Milan,1,1,-1,,2,6,6,0,0,0,0,0,,0,0,0,3,6.17,5.17,0,0,0,0,0,,0,0,0
P,Torriani,Milan,1,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Contini,Napoli,1,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Corvi,Parma,2,1,-1,,17,6.18,5.09,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
P,Gollini,Roma,1,,,,0,0,0,0,0,0,0,0,,0,0,0,7,5.86,4.07,0,0,0,0,1,,1,0,0
P,Turati,Sassuolo,1,1,-1,,6,6.17,5,0,0,0,0,0,,0,0,0,30,6.3,4.75,0,0,0,0,1,,1,0,0
P,Paleari,Torino,1,1,-1,,29,6.09,4.52,0,0,0,0,0,,1,0,0,1,6.5,3.5,0,0,0,0,0,,0,0,0
P,Padelli,Udinese,1,-1,-1,,2,6.25,5.25,0,0,0,0,0,,0,0,0,1,6.5,6.5,0,0,0,0,0,,0,0,0
D,Dimarco,Inter,31,1,1,0.9205741626794259,35,6.6,7.64,7,0,0,0,17,,3,0,0,32,6.31,6.86,4,0,0,0,3,,3,0,0
D,Wesley,Roma,18,1,1,0.682850880175212,30,6.12,6.47,5,0,0,0,0,,5,2,0,,,,,,,,,,,,
D,Akanji,Inter,15,1,1,0.6654861690160673,32,6.28,6.41,2,0,0,0,0,,4,0,0,,,,,,,,,,,,
D,Bremer,Juventus,16,1,1,0.7073145093604466,26,6.33,6.81,4,0,0,0,3,,5,0,0,6,6.5,6.42,0,0,0,0,1,,1,0,0
D,Mancini,Roma,16,1,1,0.7285454480898048,36,6.25,6.51,4,0,0,0,2,,9,0,0,37,6.18,6.26,2,0,0,0,8,,8,0,0
D,Bastoni,Inter,14,-1,-1,0.6142792024999083,28,6.2,6.34,1,0,0,0,4,,6,0,0,32,6.42,6.55,1,0,0,0,4,,4,1,0
D,Pavlovic,Milan,14,1,1,0.7660120315066583,34,6.24,6.62,5,0,0,0,0,,4,0,0,22,5.91,6.11,2,0,0,0,3,,3,1,0
D,Rrahmani,Napoli,15,1,1,0.6119718859261434,21,6.24,6.45,2,0,0,0,0,,3,0,0,38,6.14,6.17,1,0,0,0,2,,2,0,1
D,Kalulu,Juventus,14,1,1,0.6818444685923168,37,6.14,6.35,2,0,0,0,4,,2,1,0,28,6.02,6.05,1,0,0,0,2,,2,1,0
D,N'Dicka,Roma,13,1,1,0.6787735346148781,31,6.08,6.32,3,0,0,0,1,,5,0,0,38,6.05,6.03,0,0,0,0,2,,2,0,0
D,Solet,Udinese,13,1,1,0.7678693703489062,34,6.18,6.4,3,1,1,0,1,,1,0,1,19,6.16,6.29,1,0,0,0,1,,1,1,0
D,Stones,Inter,12,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Gila,Milan,13,-1,-1,0.5630079661314162,31,6.03,5.95,0,0,0,0,0,,3,1,0,32,6.05,5.95,1,0,0,0,8,,8,0,1
D,Di Lorenzo,Napoli,12,-1,-1,0.6423299148562955,26,6.08,6.33,2,0,0,0,1,,1,0,0,37,6.15,6.36,3,0,0,0,6,,6,0,0
D,Ostigard,Genoa,11,1,1,0.7253719019108935,30,6.13,6.52,5,0,0,0,0,,7,0,0,,,,,,,,,,,,
D,Bisseck,Inter,12,1,-1,0.6661269792618569,23,6.22,6.65,3,0,0,0,2,,2,0,0,27,6,6.33,3,0,0,0,4,,4,0,0
D,Scalvini,Atalanta,10,1,1,0.6581030936385678,24,6.06,6.44,3,0,0,0,1,,2,0,0,4,5.5,5.25,0,0,0,0,2,,2,0,0
D,Ramon,Como,10,1,1,0.5979635607342966,32,6.16,6.14,2,0,0,0,0,,11,1,0,,,,,,,,,,,,
D,Dodò,Fiorentina,9,1,1,0.6314778385614624,36,5.99,6.03,1,0,0,0,2,,7,0,0,,,,,,,,,,,,
D,Hermoso,Roma,11,1,1,0.6475635549943819,27,6.17,6.41,3,0,0,0,2,,9,0,0,4,5.12,4.88,0,0,0,0,0,,0,1,0
D,Vasquez,Genoa,9,-1,-1,0.6539296122266638,36,6.08,6.14,1,0,0,0,0,,2,0,0,36,6.06,6.18,3,0,0,0,9,,9,0,0
D,Cambiaso,Juventus,8,-1,1,0.6811832009539205,36,5.81,5.99,3,0,0,0,4,,3,1,2,32,6.09,6.31,2,0,0,0,4,,4,0,0
D,Dragusin,Fiorentina,7,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Jimenez A.,Fiorentina,7,-1,-1,0.39827442237196997,1,5.5,5,0,0,0,0,0,,1,0,0,21,5.95,5.83,0,0,0,0,6,,6,0,0
D,Koulierakis,Roma,8,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Hien,Atalanta,7,1,1,0.5857066273489531,28,5.91,5.86,1,0,0,0,0,,5,0,1,29,5.95,5.78,0,0,0,0,10,,10,0,0
