ruolo,nome,squadra,qt_a,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_gs,s1_rp,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_gs,s2_rp,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
P,Carnesecchi,Atalanta,17,0.8360291497975709,37,6.36,5.58,,35,,,,,,,0,0,0,34,6.34,5.32,,34,,,,,,,1,0,0
P,Milinkovic-Savic V.,Napoli,5,0.8197847503373821,27,6.2,5.65,,24,,,,,,,0,0,0,37,6.3,5.45,,42,,,,,,,3,0,0
P,Svilar,Roma,19,0.8486256410256412,38,6.26,5.45,,31,,,,,,,0,0,0,38,6.32,5.38,,35,,,,,,,1,0,0
P,Butez,Como,15,0.8344610722610722,38,6.07,5.37,,29,,,,,,,3,0,0,18,6.22,5.22,,18,,,,,,,0,0,0
P,Maignan,Milan,15,0.8102575880260091,37,6.26,5.42,,35,,,,,,,4,0,0,37,6.18,5.14,,41,,,,,,,1,0,0
P,Di Gregorio,,,0.814482615629984,30,6.08,5.33,,25,,,,,,,1,0,0,33,6.15,5.18,,32,,,,,,,0,0,0
P,Falcone,Lecce,8,0.7699578088578088,38,6.41,5.22,,50,,,,,,,2,0,0,38,6.26,4.79,,58,,,,,,,2,0,0
P,Okoye,Udinese,9,0.7320236412710097,30,6.07,5.08,,32,,,,,,,1,1,0,25,6.1,4.4,,40,,,,,,,1,0,0
P,Sommer,,,0.803512415654521,33,5.92,5.02,,30,,,,,,,0,0,0,33,6.18,5.3,,32,,,,,,,0,0,0
P,Caprile,Cagliari,10,0.7454885780885782,38,6.29,4.87,,53,,,,,,,2,0,0,22,6.2,5.16,,23,,,,,,,0,0,0
P,Audero,,,0.7431242914979759,34,6.21,4.91,,50,,,,,,,0,0,0,8,6,3.75,,18,,,,,,,0,0,0
P,De Gea,Fiorentina,11,0.7659829959514172,37,6.24,5,,49,,,,,,,0,0,0,35,6.34,5.41,,38,,,,,,,1,0,0
P,Montipò,Venezia,1,0.7350438596491229,35,6.2,4.94,,54,,,,,,,0,0,0,,,,,,,,,,,,,,0
P,Skorupski,Bologna,10,0.7377195926880138,18,6.19,5.28,,15,,,,,,,1,1,0,27,6.17,5.04,,33,,,,,,,1,0,0
P,Provedel,Inter,2,0.7971085265611582,27,6.26,5.35,,27,,,,,,,1,0,0,29,5.98,4.53,,42,,,,,,,0,0,0
P,Suzuki,,,0.7319048828364618,20,6.02,4.75,,28,,,,,,,1,0,0,37,6.22,4.76,,53,,,,,,,0,1,0
P,Muric,Sassuolo,7,0.731141798552325,32,6.08,4.77,,43,,,,,,,4,0,0,,,,,,,,,,,,,,0
P,Bijlow,Genoa,8,0.740841994847258,16,6.06,4.78,,20,,,,,,,1,0,0,,,,,,,,,,,,,,0
P,Leali,,,0.697888308183045,22,6.16,4.84,,27,,,,,,,2,1,0,29,6.16,5.1,,31,,,,,,,1,0,0
P,Corvi,Parma,2,0.7658436142804563,17,6.18,5.09,,18,,,,,,,1,0,0,0,0,0,,0,,,,,,,0,0,0
P,Paleari,Torino,1,0.714563047478837,29,6.09,4.52,,45,,,,,,,1,0,0,1,6.5,3.5,,3,,,,,,,0,0,0
P,Perin,,,0.7585325236167343,9,6.11,5.11,,9,,,,,,,0,0,0,5,6.1,5.5,,3,,,,,,,0,0,0
